Bill_id,Subject_Id,Subject_Name
HB1,258,Labor and Employment
HB1,1142,Wages
HB2,361,Public Service Companies
HB2,428,"Study Commissions, Committees, and Reports"
HB2,1282,Uncodified Legislation
HB3,4,Administration of Government
HB3,231,Housing
HB3,428,"Study Commissions, Committees, and Reports"
HB3,1282,Uncodified Legislation
HB4,231,Housing
HB4,511,Affordable Housing
HB5,258,Labor and Employment
HB5,856,Local Government and Officials
HB5,1060,State Employees
HB6,218,Health
HB6,642,Contraceptives
HJ1,117,Constitutional Amendments
HJ1,785,Human Rights
HJ2,117,Constitutional Amendments
HJ2,156,Elections
HJ2,1141,Voters and Voting
HJ3,117,Constitutional Amendments
HJ3,871,Marriage
HJ4,117,Constitutional Amendments
HJ4,192,General Assembly
HJ4,636,Congressional Districts
HJ4,990,Reapportionment
SB1,258,Labor and Employment
SB1,1142,Wages
SB2,238,Insurance
SB2,428,"Study Commissions, Committees, and Reports"
SB2,448,Unemployment Compensation
SB3,428,"Study Commissions, Committees, and Reports"
SB3,594,Child Care
SB3,1282,Uncodified Legislation
SB4,154,Education
SB4,1068,Students
SB5,4,Administration of Government
SB5,231,Housing
SB5,428,"Study Commissions, Committees, and Reports"
SB5,1282,Uncodified Legislation
SB6,117,Constitutional Amendments
SB6,156,Elections
SB6,1141,Voters and Voting
SB7,234,Income Tax
SB7,437,Taxation
SB8,26,Armed Forces
SB8,437,Taxation
SB8,10592,Real Property
SB9,218,Health
SB9,392,Sales and Use Tax
SB9,437,Taxation
SB9,1006,Retail Sales and Use Tax
SB10,258,Labor and Employment
SB10,597,Children
SB11,116,Conservation
SB11,179,"Food and Beverage Products, and Containers"
SB12,24,Appropriations
SB12,299,Motor Vehicles
SB12,707,Evidence
SB12,868,Marijuana
SB12,14460,Alcoholic Beverage and Cannabis Control
SB13,299,Motor Vehicles
SB13,846,License Plates and Registration
SB14,27,Arts and Humanities
SB14,14460,Alcoholic Beverage and Cannabis Control
SB15,299,Motor Vehicles
SB15,894,Motorcycles
SB16,154,Education
SB16,1282,Uncodified Legislation
SB17,299,Motor Vehicles
SB18,125,Courts Not of Record
SB18,597,Children
SB19,154,Education
SB20,154,Education
SB20,594,Child Care
SB21,249,Juvenile Justice
SB21,764,"Health and Human Resources, Secretary of"
SB21,979,"Public Safety and Homeland Security, Secretary of"
SB21,1282,Uncodified Legislation
SB22,113,"Commissions, Boards, and Institutions Generally"
SB22,641,Continuing Education
SB22,968,Professional and Occupational Regulation
SB23,133,Criminal Procedure
SB24,133,Criminal Procedure
SB24,692,Electronic Processes
SB24,707,Evidence
SB25,1160,Workforce
SB25,1282,Uncodified Legislation
SB25,18042,Wind Energy
SB26,122,"Counties, Cities, and Towns"
SB26,831,Land Development and Use
SB26,1050,Solar Energy
SB27,445,Trade and Commerce
SB27,721,Firearms
SB28,258,Labor and Employment
SB31,361,Public Service Companies
SB31,368,Railroads
SB32,258,Labor and Employment
SJ1,117,Constitutional Amendments
SJ1,785,Human Rights
SJ2,117,Constitutional Amendments
SJ2,156,Elections
SJ2,1141,Voters and Voting
SJ3,117,Constitutional Amendments
SJ3,871,Marriage
SJ4,140,Deaths
SJ4,19022,"Webb, Gloria Olderog"
SJ5,111,Commendations and Commemorations
SJ5,19023,"Henriksen, Pamelia"
