member_id,MBR_NAME,party,topic_name,classification,topic_status,comparable_topic_sample,robust_topic_sample,topic_vote_events_2025,topic_vote_events_2026,eligible_topic_events_2025,eligible_topic_events_2026,eligible_topic_event_change,cross_party_events_2025,cross_party_events_2026,cross_party_event_change,cross_party_pct_2025,cross_party_pct_2026,cross_party_pct_change,party_break_events_2025,party_break_events_2026,party_break_event_change,MBR_NAME_2025,MBR_NAME_2026,party_2025,party_2026
H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Taxes and Revenue,Derived from LIS bill description,Present both years,True,True,96.0,96.0,89.0,83.0,-6.0,3.0,13.0,10.0,3.3707865168539324,15.66265060240964,12.291864085555707,5.0,16.0,11.0,"Hyland F. ""Buddy"" Fowler, Jr.","Hyland F. ""Buddy"" Fowler, Jr.",R,R
H0335,Mike A. Cherry,R,Elections and Voting,Derived from LIS bill description,Present both years,True,True,79.0,148.0,79.0,147.0,68.0,2.0,21.0,19.0,2.5316455696202533,14.285714285714285,11.754068716094032,7.0,25.0,18.0,Mike A. Cherry,Mike A. Cherry,R,R
H0224,James W. Morefield,R,Elections and Voting,Derived from LIS bill description,Present both years,True,True,58.0,96.0,57.0,96.0,39.0,4.0,17.0,13.0,7.017543859649122,17.708333333333336,10.690789473684212,7.0,17.0,10.0,James W. Morefield,James W. Morefield,R,R
H0224,James W. Morefield,R,Housing,Derived from LIS bill description,Present both years,True,True,65.0,134.0,63.0,130.0,67.0,8.0,29.0,21.0,12.698412698412698,22.30769230769231,9.609279609279612,9.0,29.0,20.0,James W. Morefield,James W. Morefield,R,R
H0308,Joseph P. McNamara,R,Elections and Voting,Derived from LIS bill description,Present both years,True,True,57.0,92.0,55.0,92.0,37.0,1.0,10.0,9.0,1.818181818181818,10.869565217391305,9.051383399209486,5.0,12.0,7.0,Joseph P. McNamara,Joseph P. McNamara,R,R
H0267,"Robert S. Bloxom, Jr.",R,Housing,Derived from LIS bill description,Present both years,True,True,58.0,150.0,56.0,147.0,91.0,8.0,34.0,26.0,14.285714285714285,23.12925170068027,8.843537414965986,8.0,36.0,28.0,"Robert S. Bloxom, Jr.","Robert S. Bloxom, Jr.",R,R
H0231,Tony O. Wilt,R,Criminal Justice,Derived from LIS bill description,Present both years,True,True,96.0,102.0,93.0,101.0,8.0,1.0,10.0,9.0,1.0752688172043012,9.9009900990099,8.825721281805597,3.0,10.0,7.0,Tony O. Wilt,Tony O. Wilt,R,R
H0382,Joshua E. Thomas,D,Firearms,Derived from LIS bill description,Present both years,True,True,76.0,103.0,76.0,103.0,27.0,0.0,9.0,9.0,0.0,8.737864077669903,8.737864077669903,0.0,9.0,9.0,Joshua E. Thomas,Joshua E. Thomas,D,D
H0350,Ellen H. McLaughlin,R,Housing,Derived from LIS bill description,Present both years,True,True,63.0,130.0,57.0,120.0,63.0,4.0,18.0,14.0,7.017543859649122,15.0,7.982456140350878,6.0,18.0,12.0,Ellen H. Campbell,Ellen H. McLaughlin,R,R
H0308,Joseph P. McNamara,R,Criminal Justice,Derived from LIS bill description,Present both years,True,True,71.0,81.0,70.0,78.0,8.0,0.0,6.0,6.0,0.0,7.6923076923076925,7.6923076923076925,1.0,7.0,6.0,Joseph P. McNamara,Joseph P. McNamara,R,R
