member_id,topic_name,classification,MBR_NAME_2025,party_2025,yes_votes_2025,no_votes_2025,directional_topic_votes_2025,yes_pct_2025,no_pct_2025,voting_tendency_2025,MBR_NAME_2026,party_2026,yes_votes_2026,no_votes_2026,directional_topic_votes_2026,yes_pct_2026,no_pct_2026,voting_tendency_2026,topic_status,MBR_NAME,party,yes_pct_change,comparable_tendency,voting_tendency_changed,data_availability_changed
H0238,Technology and Data,Derived from LIS bill description,M. Keith Hodges,R,4.0,16.0,20.0,20.0,80.0,NO,M. Keith Hodges,R,19.0,3.0,22.0,86.36363636363636,13.636363636363635,YES,Present both years,M. Keith Hodges,R,66.36363636363636,True,True,False
H0345,Technology and Data,Derived from LIS bill description,Anne Ferrell Tata,R,5.0,6.0,11.0,45.45454545454545,54.54545454545454,MIXED,Anne Ferrell Tata,R,18.0,5.0,23.0,78.26086956521739,21.73913043478261,YES,Present both years,Anne Ferrell Tata,R,32.80632411067194,True,True,False
H0224,Technology and Data,Derived from LIS bill description,James W. Morefield,R,6.0,5.0,11.0,54.54545454545454,45.45454545454545,MIXED,James W. Morefield,R,24.0,4.0,28.0,85.71428571428571,14.285714285714285,YES,Present both years,James W. Morefield,R,31.16883116883117,True,True,False
H0348,Marriage and Domestic Relations,Derived from LIS bill description,Wren M. Williams,R,9.0,8.0,17.0,52.94117647058824,47.05882352941176,MIXED,Wren M. Williams,R,17.0,5.0,22.0,77.27272727272727,22.727272727272727,YES,Present both years,Wren M. Williams,R,24.331550802139027,True,True,False
H0364,Technology and Data,Derived from LIS bill description,Timothy P. Griffin,R,4.0,14.0,18.0,22.22222222222222,77.77777777777779,NO,Timothy P. Griffin,R,12.0,14.0,26.0,46.15384615384615,53.84615384615385,MIXED,Present both years,Timothy P. Griffin,R,23.931623931623932,True,True,False
H0247,Behavioral Health,Derived from LIS bill description,Michael J. Webert,R,17.0,14.0,31.0,54.83870967741935,45.16129032258064,MIXED,Michael J. Webert,R,42.0,12.0,54.0,77.77777777777779,22.22222222222222,YES,Present both years,Michael J. Webert,R,22.939068100358433,True,True,False
H0253,Technology and Data,Derived from LIS bill description,Terry L. Austin,R,6.0,5.0,11.0,54.54545454545454,45.45454545454545,MIXED,Terry L. Austin,R,23.0,7.0,30.0,76.66666666666667,23.333333333333332,YES,Present both years,Terry L. Austin,R,22.12121212121213,True,True,False
H0348,Education,Derived from LIS bill description,Wren M. Williams,R,58.0,74.0,132.0,43.93939393939394,56.060606060606055,MIXED,Wren M. Williams,R,95.0,51.0,146.0,65.06849315068493,34.93150684931507,YES,Present both years,Wren M. Williams,R,21.129099211290992,True,True,False
H0308,Courts and Civil Law,Derived from LIS bill description,Joseph P. McNamara,R,8.0,18.0,26.0,30.76923076923077,69.23076923076923,NO,Joseph P. McNamara,R,17.0,16.0,33.0,51.515151515151516,48.484848484848484,MIXED,Present both years,Joseph P. McNamara,R,20.745920745920746,True,True,False
H0377,Behavioral Health,Derived from LIS bill description,Delores Oates,R,14.0,14.0,28.0,50.0,50.0,MIXED,Delores Oates,R,36.0,16.0,52.0,69.23076923076923,30.76923076923077,YES,Present both years,Delores Oates,R,19.230769230769226,True,True,False
H0350,Technology and Data,Derived from LIS bill description,Ellen H. Campbell,R,5.0,5.0,10.0,50.0,50.0,MIXED,Ellen H. McLaughlin,R,18.0,8.0,26.0,69.23076923076923,30.76923076923077,YES,Present both years,Ellen H. McLaughlin,R,19.230769230769226,True,True,False
