Bill_id,topic_name,classification
HB1548,Education,Derived from LIS bill description
HB1549,Transportation,Derived from LIS bill description
HB1549,Family and Children,Derived from LIS bill description
HB1550,Taxes and Revenue,Derived from LIS bill description
HB1551,Taxes and Revenue,Derived from LIS bill description
HB1552,Health and Healthcare,Derived from LIS bill description
HB1553,Criminal Justice,Derived from LIS bill description
HB1553,Courts and Civil Law,Derived from LIS bill description
HB1555,Health and Healthcare,Derived from LIS bill description
HB1556,Criminal Justice,Derived from LIS bill description
HB1556,Business and Commerce,Derived from LIS bill description
HB1556,Family and Children,Derived from LIS bill description
HB1559,Firearms,Derived from LIS bill description
HB1560,Taxes and Revenue,Derived from LIS bill description
HB1561,Local Government,Derived from LIS bill description
HB1562,Taxes and Revenue,Derived from LIS bill description
HB1566,Elections and Voting,Derived from LIS bill description
HB1569,Firearms,Derived from LIS bill description
HB1570,Labor and Employment,Derived from LIS bill description
HB1570,Business and Commerce,Derived from LIS bill description
HB1573,Elections and Voting,Derived from LIS bill description
HB1574,Elections and Voting,Derived from LIS bill description
HB1577,Local Government,Derived from LIS bill description
HB1578,Behavioral Health,Derived from LIS bill description
HB1579,Taxes and Revenue,Derived from LIS bill description
HB1580,Local Government,Derived from LIS bill description
HB1581,Firearms,Derived from LIS bill description
HB1581,Taxes and Revenue,Derived from LIS bill description
HB1581,Business and Commerce,Derived from LIS bill description
HB1582,Health and Healthcare,Derived from LIS bill description
HB1583,Transportation,Derived from LIS bill description
HB1583,Firearms,Derived from LIS bill description
HB1584,Housing,Derived from LIS bill description
HB1585,Family and Children,Derived from LIS bill description
HB1588,Energy and Utilities,Derived from LIS bill description
HB1589,Criminal Justice,Derived from LIS bill description
HB1589,Elections and Voting,Derived from LIS bill description
HB1590,Family and Children,Derived from LIS bill description
HB1591,Taxes and Revenue,Derived from LIS bill description
HB1592,Environment and Conservation,Derived from LIS bill description
HB1593,Family and Children,Derived from LIS bill description
HB1594,Education,Derived from LIS bill description
HB1595,Education,Derived from LIS bill description
HB1596,Health and Healthcare,Derived from LIS bill description
HB1597,Firearms,Derived from LIS bill description
HB1600,Budget and Appropriations,Derived from LIS bill description
HB1601,Energy and Utilities,Derived from LIS bill description
HB1602,Labor and Employment,Derived from LIS bill description
HB1602,Public Safety,Derived from LIS bill description
HB1603,Transportation,Derived from LIS bill description
HB1604,Education,Derived from LIS bill description
HB1607,Firearms,Derived from LIS bill description
HB1608,Courts and Civil Law,Derived from LIS bill description
HB1608,Firearms,Derived from LIS bill description
HB1609,Insurance,Derived from LIS bill description
HB1612,Education,Derived from LIS bill description
HB1612,Family and Children,Derived from LIS bill description
HB1613,Education,Derived from LIS bill description
HB1614,Health and Healthcare,Derived from LIS bill description
HB1615,Transportation,Derived from LIS bill description
HB1616,Labor and Employment,Derived from LIS bill description
HB1620,Labor and Employment,Derived from LIS bill description
HB1621,Education,Derived from LIS bill description
HB1621,Higher Education,Derived from LIS bill description
HB1622,Transportation,Derived from LIS bill description
HB1622,Firearms,Derived from LIS bill description
HB1623,Housing,Derived from LIS bill description
HB1624,Family and Children,Derived from LIS bill description
HB1625,Labor and Employment,Derived from LIS bill description
HB1625,Agriculture and Food,Derived from LIS bill description
HB1626,Education,Derived from LIS bill description
HB1627,Criminal Justice,Derived from LIS bill description
HB1629,Health and Healthcare,Derived from LIS bill description
HB1631,Family and Children,Derived from LIS bill description
HB1631,Social Services,Derived from LIS bill description
HB1633,Insurance,Derived from LIS bill description
HB1635,Health and Healthcare,Derived from LIS bill description
HB1636,Health and Healthcare,Derived from LIS bill description
HB1637,Behavioral Health,Derived from LIS bill description
HB1638,Housing,Derived from LIS bill description
HB1638,Criminal Justice,Derived from LIS bill description
HB1639,Insurance,Derived from LIS bill description
HB1641,Health and Healthcare,Derived from LIS bill description
HB1641,Insurance,Derived from LIS bill description
HB1642,Technology and Data,Derived from LIS bill description
HB1643,Transportation,Derived from LIS bill description
HB1645,Elections and Voting,Derived from LIS bill description
HB1649,Education,Derived from LIS bill description
HB1651,Social Services,Derived from LIS bill description
HB1652,Elections and Voting,Derived from LIS bill description
HB1655,Labor and Employment,Derived from LIS bill description
HB1657,Elections and Voting,Derived from LIS bill description
HB1663,Education,Derived from LIS bill description
HB1664,Local Government,Derived from LIS bill description
HB1665,Transportation,Derived from LIS bill description
HB1665,Criminal Justice,Derived from LIS bill description
HB1667,Labor and Employment,Derived from LIS bill description
HB1667,Family and Children,Derived from LIS bill description
HB1668,Transportation,Derived from LIS bill description
HB1668,Taxes and Revenue,Derived from LIS bill description
HB1669,Elections and Voting,Derived from LIS bill description
HB1670,Insurance,Derived from LIS bill description
HB1672,Energy and Utilities,Derived from LIS bill description
HB1674,Education,Derived from LIS bill description
HB1675,Education,Derived from LIS bill description
HB1678,Education,Derived from LIS bill description
HB1678,Firearms,Derived from LIS bill description
HB1678,Family and Children,Derived from LIS bill description
HB1679,Education,Derived from LIS bill description
HB1682,Taxes and Revenue,Derived from LIS bill description
HB1682,Insurance,Derived from LIS bill description
HB1683,Transportation,Derived from LIS bill description
HB1685,Education,Derived from LIS bill description
HB1686,Elections and Voting,Derived from LIS bill description
HB1689,Housing,Derived from LIS bill description
HB1691,Elections and Voting,Derived from LIS bill description
HB1692,Criminal Justice,Derived from LIS bill description
HB1694,Education,Derived from LIS bill description
HB1698,Taxes and Revenue,Derived from LIS bill description
HB1700,Education,Derived from LIS bill description
HB1700,Courts and Civil Law,Derived from LIS bill description
HB1701,Taxes and Revenue,Derived from LIS bill description
HB1706,Housing,Derived from LIS bill description
HB1709,Housing,Derived from LIS bill description
HB1710,Health and Healthcare,Derived from LIS bill description
HB1713,Behavioral Health,Derived from LIS bill description
HB1713,Criminal Justice,Derived from LIS bill description
HB1717,Taxes and Revenue,Derived from LIS bill description
HB1718,Housing,Derived from LIS bill description
HB1718,Local Government,Derived from LIS bill description
HB1719,Housing,Derived from LIS bill description
HB1720,Health and Healthcare,Derived from LIS bill description
HB1723,Social Services,Derived from LIS bill description
HB1725,Health and Healthcare,Derived from LIS bill description
HB1729,Taxes and Revenue,Derived from LIS bill description
HB1730,Labor and Employment,Derived from LIS bill description
HB1730,Courts and Civil Law,Derived from LIS bill description
HB1731,Health and Healthcare,Derived from LIS bill description
HB1733,Family and Children,Derived from LIS bill description
HB1733,Social Services,Derived from LIS bill description
HB1735,Elections and Voting,Derived from LIS bill description
HB1736,Firearms,Derived from LIS bill description
HB1741,Taxes and Revenue,Derived from LIS bill description
HB1743,Taxes and Revenue,Derived from LIS bill description
HB1744,Elections and Voting,Derived from LIS bill description
HB1745,Local Government,Derived from LIS bill description
HB1746,Public Safety,Derived from LIS bill description
HB1747,Transportation,Derived from LIS bill description
HB1749,Health and Healthcare,Derived from LIS bill description
HB1749,Labor and Employment,Derived from LIS bill description
HB1750,Transportation,Derived from LIS bill description
HB1751,Elections and Voting,Derived from LIS bill description
HB1752,Education,Derived from LIS bill description
HB1752,Higher Education,Derived from LIS bill description
HB1753,Health and Healthcare,Derived from LIS bill description
HB1754,Taxes and Revenue,Derived from LIS bill description
HB1755,Taxes and Revenue,Derived from LIS bill description
HB1755,Technology and Data,Derived from LIS bill description
HB1758,Housing,Derived from LIS bill description
HB1760,Behavioral Health,Derived from LIS bill description
HB1760,Family and Children,Derived from LIS bill description
HB1765,Behavioral Health,Derived from LIS bill description
HB1765,Insurance,Derived from LIS bill description
HB1771,Labor and Employment,Derived from LIS bill description
HB1771,Family and Children,Derived from LIS bill description
HB1771,Social Services,Derived from LIS bill description
HB1773,Criminal Justice,Derived from LIS bill description
HB1773,Firearms,Derived from LIS bill description
HB1775,Marriage and Domestic Relations,Derived from LIS bill description
HB1777,Family and Children,Derived from LIS bill description
HB1779,Energy and Utilities,Derived from LIS bill description
HB1783,Education,Derived from LIS bill description
HB1784,Transportation,Derived from LIS bill description
HB1788,Education,Derived from LIS bill description
HB1789,Business and Commerce,Derived from LIS bill description
HB1790,Housing,Derived from LIS bill description
HB1792,Taxes and Revenue,Derived from LIS bill description
HB1794,Elections and Voting,Derived from LIS bill description
HB1795,Local Government,Derived from LIS bill description
HB1796,Business and Commerce,Derived from LIS bill description
HB1797,Firearms,Derived from LIS bill description
HB1798,Agriculture and Food,Derived from LIS bill description
HB1804,Health and Healthcare,Derived from LIS bill description
HB1806,Education,Derived from LIS bill description
HB1808,Education,Derived from LIS bill description
HB1809,Education,Derived from LIS bill description
HB1811,Health and Healthcare,Derived from LIS bill description
HB1813,Environment and Conservation,Derived from LIS bill description
HB1813,Taxes and Revenue,Derived from LIS bill description
HB1816,Courts and Civil Law,Derived from LIS bill description
HB1816,Business and Commerce,Derived from LIS bill description
HB1816,Family and Children,Derived from LIS bill description
HB1817,Family and Children,Derived from LIS bill description
HB1818,Firearms,Derived from LIS bill description
HB1819,Energy and Utilities,Derived from LIS bill description
HB1819,Business and Commerce,Derived from LIS bill description
HB1820,Public Safety,Derived from LIS bill description
HB1821,Energy and Utilities,Derived from LIS bill description
HB1822,Energy and Utilities,Derived from LIS bill description
HB1824,Education,Derived from LIS bill description
HB1825,Environment and Conservation,Derived from LIS bill description
HB1828,Insurance,Derived from LIS bill description
HB1829,Education,Derived from LIS bill description
HB1830,Education,Derived from LIS bill description
HB1830,Labor and Employment,Derived from LIS bill description
HB1831,Education,Derived from LIS bill description
HB1837,Agriculture and Food,Derived from LIS bill description
HB1840,Education,Derived from LIS bill description
HB1841,Transportation,Derived from LIS bill description
HB1841,Taxes and Revenue,Derived from LIS bill description
HB1845,Criminal Justice,Derived from LIS bill description
HB1846,Criminal Justice,Derived from LIS bill description
HB1846,Family and Children,Derived from LIS bill description
HB1850,Criminal Justice,Derived from LIS bill description
HB1851,Labor and Employment,Derived from LIS bill description
HB1855,Education,Derived from LIS bill description
HB1856,Social Services,Derived from LIS bill description
HB1858,Criminal Justice,Derived from LIS bill description
HB1860,Health and Healthcare,Derived from LIS bill description
HB1862,Elections and Voting,Derived from LIS bill description
HB1863,Elections and Voting,Derived from LIS bill description
HB1866,Taxes and Revenue,Derived from LIS bill description
HB1867,Housing,Derived from LIS bill description
HB1868,Taxes and Revenue,Derived from LIS bill description
HB1869,Firearms,Derived from LIS bill description
HB1870,Housing,Derived from LIS bill description
HB1872,Housing,Derived from LIS bill description
HB1874,Public Safety,Derived from LIS bill description
HB1875,Energy and Utilities,Derived from LIS bill description
HB1876,Firearms,Derived from LIS bill description
HB1877,Criminal Justice,Derived from LIS bill description
HB1878,Education,Derived from LIS bill description
HB1878,Higher Education,Derived from LIS bill description
HB1880,Education,Derived from LIS bill description
HB1880,Family and Children,Derived from LIS bill description
HB1881,Education,Derived from LIS bill description
HB1883,Energy and Utilities,Derived from LIS bill description
HB1885,Criminal Justice,Derived from LIS bill description
HB1886,Criminal Justice,Derived from LIS bill description
HB1890,Education,Derived from LIS bill description
HB1892,Education,Derived from LIS bill description
HB1892,Family and Children,Derived from LIS bill description
HB1893,Health and Healthcare,Derived from LIS bill description
HB1894,Criminal Justice,Derived from LIS bill description
HB1895,Behavioral Health,Derived from LIS bill description
HB1896,Taxes and Revenue,Derived from LIS bill description
HB1900,Health and Healthcare,Derived from LIS bill description
HB1903,Health and Healthcare,Derived from LIS bill description
HB1903,Labor and Employment,Derived from LIS bill description
HB1904,Health and Healthcare,Derived from LIS bill description
HB1904,Insurance,Derived from LIS bill description
HB1905,Health and Healthcare,Derived from LIS bill description
HB1906,Social Services,Derived from LIS bill description
HB1907,Environment and Conservation,Derived from LIS bill description
HB1908,Environment and Conservation,Derived from LIS bill description
HB1909,Education,Derived from LIS bill description
HB1909,Agriculture and Food,Derived from LIS bill description
HB1915,Education,Derived from LIS bill description
HB1919,Labor and Employment,Derived from LIS bill description
HB1921,Labor and Employment,Derived from LIS bill description
HB1922,Business and Commerce,Derived from LIS bill description
HB1923,Insurance,Derived from LIS bill description
HB1924,Education,Derived from LIS bill description
HB1925,Criminal Justice,Derived from LIS bill description
HB1926,Transportation,Derived from LIS bill description
HB1927,Health and Healthcare,Derived from LIS bill description
HB1928,Labor and Employment,Derived from LIS bill description
HB1933,Labor and Employment,Derived from LIS bill description
HB1934,Energy and Utilities,Derived from LIS bill description
HB1935,Energy and Utilities,Derived from LIS bill description
HB1936,Education,Derived from LIS bill description
HB1937,Health and Healthcare,Derived from LIS bill description
HB1937,Behavioral Health,Derived from LIS bill description
HB1938,Elections and Voting,Derived from LIS bill description
HB1939,Taxes and Revenue,Derived from LIS bill description
HB1945,Education,Derived from LIS bill description
HB1945,Behavioral Health,Derived from LIS bill description
HB1947,Education,Derived from LIS bill description
HB1947,Behavioral Health,Derived from LIS bill description
HB1951,Labor and Employment,Derived from LIS bill description
HB1952,Elections and Voting,Derived from LIS bill description
HB1953,Elections and Voting,Derived from LIS bill description
HB1954,Education,Derived from LIS bill description
HB1957,Education,Derived from LIS bill description
HB1958,Education,Derived from LIS bill description
HB1959,Family and Children,Derived from LIS bill description
HB1960,Firearms,Derived from LIS bill description
