year,vote_id,member_id,MBR_NAME,MBR_HOU,party,vote,own_party_position,other_party_position,broke_with_party,cross_party,Subject_Id,Subject_Name,eligible_cross_party
2026,26110244,H0056,Terry G. Kilgore,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0056,Terry G. Kilgore,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0108,Vivian E. Watts,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0108,Vivian E. Watts,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0124,R. Lee Ware,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0124,R. Lee Ware,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0136,"Thomas C. Wright, Jr.",H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0136,"Thomas C. Wright, Jr.",H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0173,Jeion A. Ward,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0173,Jeion A. Ward,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0206,Barry D. Knight,H,R,X,N,Y,False,False,445,Trade and Commerce,False
2026,26110244,H0206,Barry D. Knight,H,R,X,N,Y,False,False,721,Firearms,False
2026,26110244,H0207,Delores L. McQuinn,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0207,Delores L. McQuinn,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0208,Charniele L. Herring,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0208,Charniele L. Herring,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0212,Betsy B. Carr,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0212,Betsy B. Carr,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0219,Patrick A. Hope,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0219,Patrick A. Hope,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0224,James W. Morefield,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0224,James W. Morefield,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0227,Luke E. Torian,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0227,Luke E. Torian,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0231,Tony O. Wilt,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0231,Tony O. Wilt,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0238,M. Keith Hodges,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0238,M. Keith Hodges,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0239,Alfonso H. Lopez,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0239,Alfonso H. Lopez,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0242,Israel D. O'Quinn,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0242,Israel D. O'Quinn,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0247,Michael J. Webert,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0247,Michael J. Webert,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0253,Terry L. Austin,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0253,Terry L. Austin,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0259,"Hyland F. ""Buddy"" Fowler, Jr.",H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0259,"Hyland F. ""Buddy"" Fowler, Jr.",H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0262,"James A. ""Jay"" Leftwich",H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0262,"James A. ""Jay"" Leftwich",H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0264,Marcus B. Simon,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0264,Marcus B. Simon,H,D,Y,Y,N,False,False,721,Firearms,True
