year,Bill_id,Bill_description,Patron_id,Patron_name
2026,HB1,"Minimum wage; increases incrementally to $15.00 per hour by January 1, 2028.",H0173,Ward
2026,HB2,"Electric utilities; energy efficiency upgrades, report.",H0172,Sickles
2026,HB3,"Income-Qualified Energy Efficiency and Weatherization Task Force; established, report.",H0372,LeVere Bolling
2026,HB4,"Affordable housing; preservation, definitions, civil penalty.",H0334,Bennett-Parker
2026,HB5,"Employment; paid sick leave, civil penalties.",H0295,Convirs-Fowler
2026,HB6,"Contraception; definitions, establishes right to obtain, applicability, enforcement.",H0284,Price
2026,HB7,"Law-enforcement officers; restrictions on wearing of facial coverings, exceptions, civil liability.",H0368,Jones
2026,HB8,General Assembly; intergovernmental affairs.,H0124,Ware
2026,HB9,"Eastern Daylight Time; Commonwealth shall observe year-round upon enactment by Congress, etc.",H0308,McNamara
2026,HB10,Real property tax; classification of land and improvements.,H0308,McNamara
2026,HB11,"Emergency custody orders; transportation to treatment center, etc.",H0308,McNamara
2026,HB12,"Income tax, state; standard deduction.",H0308,McNamara
2026,HB13,RS and UT; food purchased for human consumption and essential personal hygiene products.,H0308,McNamara
2026,HB14,Virginia Residential Landlord and Tenant Act; enforcement by localities.,H0284,Price
2026,HB15,"Va. Residential Landlord and Tenant Act; landlord remedies, noncompliance with rental agreement.",H0284,Price
2026,HB16,Community service work in lieu of payment of fines and costs; work performed while incarcerated.,H0284,Price
2026,HB17,"Fines and costs; period of limitations on collection, responsibility for collections.",H0284,Price
2026,HB18,"Employee Child Care Assistance Program; established, reports.",H0375,McClure
2026,HB19,"Firearms; purchase, etc., after assault & battery of family or household member or intimate partner.",H0375,McClure
2026,HB20,"Minimum wage; farm laborers or farm employees, temporary foreign workers.",H0375,McClure
2026,HB21,"Firearm industry members; creates standards of responsible conduct, civil liability.",H0317,Helmer
2026,HB22,"VMI; removes certain authority, disciplinary immunity for certain individuals who make reports.",H0317,Helmer
2026,HB23,"Elections; primary dates, presidential year primaries.",H0317,Helmer
2026,HB24,Concealed handgun permits; reciprocity with other states.,H0317,Helmer
2026,HB25,Railroad safety; minimum train crew used in movement of freight.,H0353,Anthony
2026,HB26,"Marijuana-related offenses; modification of sentence, sunset.",H0365,Henson
2026,HB27,"Overtime for certain employees; pay for domestic workers, delayed effective date.",H0365,Henson
2026,HB28,Voter registration; regular periodic review of registration records.,H0365,Henson
2026,HB29,Budget Bill.,H0227,Torian
2026,HB30,Budget Bill.,H0227,Torian
2026,HB31,"Professionally Licensed Teacher Supplemental Pay Program; established, report.",H0360,Feggans
2026,HB32,Problem Gambling Treatment and Support Advisory Committee; appointment of additional members.,H0281,Krizek
2026,HB33,"Income tax, state; pass-through entities, sunset.",H0308,McNamara
2026,HB34,Sexual Offense Prevention and Response Officer; feasibility of establishing position.,H0314,"Cole, J.G."
2026,HB35,Restorative housing and isolated confinement; restrictions on use.,H0314,"Cole, J.G."
2026,HB36,"Standards of Quality; class size limits, exception for certain ensemble music classes.",H0314,"Cole, J.G."
2026,HB37,"Developmental disability waivers; financial eligibility standards, sunset repeal.",H0344,Shin
2026,HB38,"Public schools; mental health awareness training and instruction, requirements.",H0365,Henson
2026,HB39,Duty of settlement agent; restrictive covenants.,H0264,Simon
2026,HB40,"Plastic firearms or receivers, etc., transfer, etc., prohibited; penalties.",H0264,Simon
