year,vote_id,member_id,vote,MBR_HOU,MBR_MBRNO,MBR_NAME,party
2026,26110000,H0056,N,H,H0056,Terry G. Kilgore,
2026,26110000,H0108,Y,H,H0108,Vivian E. Watts,
2026,26110000,H0124,N,H,H0124,R. Lee Ware,
2026,26110000,H0136,N,H,H0136,"Thomas C. Wright, Jr.",
2026,26110000,H0173,Y,H,H0173,Jeion A. Ward,
2026,26110000,H0206,X,H,H0206,Barry D. Knight,
2026,26110000,H0207,Y,H,H0207,Delores L. McQuinn,
2026,26110000,H0208,Y,H,H0208,Charniele L. Herring,
2026,26110000,H0212,Y,H,H0212,Betsy B. Carr,
2026,26110000,H0219,Y,H,H0219,Patrick A. Hope,
2026,26110000,H0224,N,H,H0224,James W. Morefield,
2026,26110000,H0227,Y,H,H0227,Luke E. Torian,
2026,26110000,H0231,N,H,H0231,Tony O. Wilt,
2026,26110000,H0238,N,H,H0238,M. Keith Hodges,
2026,26110000,H0239,Y,H,H0239,Alfonso H. Lopez,
2026,26110000,H0242,N,H,H0242,Israel D. O'Quinn,
2026,26110000,H0247,N,H,H0247,Michael J. Webert,
2026,26110000,H0253,N,H,H0253,Terry L. Austin,
2026,26110000,H0259,N,H,H0259,"Hyland F. ""Buddy"" Fowler, Jr.",
2026,26110000,H0262,N,H,H0262,"James A. ""Jay"" Leftwich",
2026,26110000,H0264,Y,H,H0264,Marcus B. Simon,
2026,26110000,H0266,X,H,H0266,Sam Rasoul,
2026,26110000,H0267,N,H,H0267,"Robert S. Bloxom, Jr.",
2026,26110000,H0269,Y,H,H0269,"Richard C. ""Rip"" Sullivan, Jr.",
2026,26110000,H0281,Y,H,H0281,Paul E. Krizek,
2026,26110000,H0284,Y,H,H0284,"Marcia S. ""Cia"" Price",
2026,26110000,H0285,Y,H,H0285,"C.E. Cliff Hayes, Jr.",
2026,26110000,H0294,Y,H,H0294,Karrie K. Delaney,
2026,26110000,H0295,Y,H,H0295,Kelly K. Convirs-Fowler,
2026,26110000,H0297,Y,H,H0297,Elizabeth R. Guzman,
2026,26110000,H0301,Y,H,H0301,David A. Reid,
2026,26110000,H0305,Y,H,H0305,Kathy K.L. Tran,
2026,26110000,H0308,N,H,H0308,Joseph P. McNamara,
2026,26110000,H0311,Y,H,H0311,Alex Q. Askew,
2026,26110000,H0314,Y,H,H0314,Joshua G. Cole,
2026,26110000,H0317,Y,H,H0317,Dan I. Helmer,
2026,26110000,H0321,N,H,H0321,Chris S. Runion,
2026,26110000,H0322,Y,H,H0322,Don Scott,
2026,26110000,H0323,Y,H,H0323,Shelly A. Simonds,
2026,26110000,H0325,N,H,H0325,Wendell S. Walker,
2026,26110000,H0327,Y,H,H0327,Rodney T. Willett,
2026,26110000,H0328,N,H,H0328,Scott A. Wyatt,
2026,26110000,H0329,N,H,H0329,Bill Wiley,
2026,26110000,H0333,N,H,H0333,Jason S. Ballard,
2026,26110000,H0334,Y,H,H0334,Elizabeth B. Bennett-Parker,
2026,26110000,H0335,N,H,H0335,Mike A. Cherry,
2026,26110000,H0336,X,H,H0336,Nadarius E. Clark,
2026,26110000,H0340,Y,H,H0340,Michelle Lopes Maldonado,
2026,26110000,H0342,N,H,H0342,Phillip A. Scott,
2026,26110000,H0343,Y,H,H0343,Briana D. Sewell,
2026,26110000,H0344,Y,H,H0344,Irene Shin,
2026,26110000,H0345,N,H,H0345,Anne Ferrell Tata,
2026,26110000,H0347,N,H,H0347,"H. Otto Wachsmann, Jr.",
2026,26110000,H0348,N,H,H0348,Wren M. Williams,
2026,26110000,H0349,N,H,H0349,Jackie H. Glass,
2026,26110000,H0350,N,H,H0350,Ellen H. McLaughlin,
2026,26110000,H0351,Y,H,H0351,Holly M. Seibold,
2026,26110000,H0353,Y,H,H0353,Bonita G. Anthony,
2026,26110000,H0354,Y,H,H0354,Katrina Callsen,
2026,26110000,H0355,Y,H,H0355,Laura Jane Cohen,
2026,26110000,H0356,Y,H,H0356,Rae Cousins,
2026,26110000,H0357,N,H,H0357,Will Davis,
2026,26110000,H0360,Y,H,H0360,Michael B. Feggans,
2026,26110000,H0361,Y,H,H0361,Debra D. Gardner,
2026,26110000,H0362,N,H,H0362,"Thomas A. Garrett, Jr.",
2026,26110000,H0364,N,H,H0364,Timothy P. Griffin,
2026,26110000,H0365,Y,H,H0365,"Rozia A. Henson, Jr.",
2026,26110000,H0366,Y,H,H0366,Phil M. Hernandez,
2026,26110000,H0369,N,H,H0369,Hillary Pugh Kent,
2026,26110000,H0370,Y,H,H0370,Karen Keys-Gamarra,
2026,26110000,H0371,Y,H,H0371,Amy J. Laufer,
2026,26110000,H0372,Y,H,H0372,Destiny LeVere Bolling,
2026,26110000,H0374,Y,H,H0374,Marty Martinez,
2026,26110000,H0375,Y,H,H0375,Adele Y. McClure,
2026,26110000,H0377,N,H,H0377,Delores Oates,
2026,26110000,H0380,Y,H,H0380,Atoosa R. Reaser,
2026,26110000,H0382,Y,H,H0382,Joshua E. Thomas,
2026,26110000,H0383,N,H,H0383,Eric R. Zehr,
2026,26110000,H0384,N,H,H0384,Eric Phillips,
2026,26110000,H0385,Y,H,H0385,JJ Singh,
2026,26110000,H0386,Y,H,H0386,Jessica L. Anderson,
2026,26110000,H0387,Y,H,H0387,"Karen R. ""Kacey"" Carnegie",
2026,26110000,H0388,Y,H,H0388,Stacey Annie Carroll,
2026,26110000,H0389,Y,H,H0389,Nicole Cole,
2026,26110000,H0390,N,H,H0390,Mitchell Cornett,
2026,26110000,H0391,Y,H,H0391,Lindsey Dougherty,
2026,26110000,H0392,Y,H,H0392,Mark C. Downey,
2026,26110000,H0393,Y,H,H0393,Lily V. Franklin,
2026,26110000,H0394,N,H,H0394,Karen Hamilton,
2026,26110000,H0395,Y,H,H0395,John Chilton McAuliff,
2026,26110000,H0396,Y,H,H0396,Leslie Chambers Mehta,
2026,26110000,H0397,Y,H,H0397,May Nivar,
2026,26110000,H0398,N,H,H0398,Justin Pence,
2026,26110000,H0399,Y,H,H0399,Kimberly Pope Adams,
2026,26110000,H0400,Y,H,H0400,Virgil Thornton,
2026,26110000,H0401,N,H,H0401,Madison Whittle,
2026,26110000,H0402,Y,H,H0402,Charlie Schmidt,
2026,26110000,H0403,Y,H,H0403,Gretchen M. Bulova,
2026,26110000,H0404,X,H,H0404,Margaret A. Franklin,
2026,26110000,H0405,Y,H,H0405,Garrett McGuire,
2026,26110001,H0056,Y,H,H0056,Terry G. Kilgore,
2026,26110001,H0108,Y,H,H0108,Vivian E. Watts,
2026,26110001,H0124,Y,H,H0124,R. Lee Ware,
2026,26110001,H0136,N,H,H0136,"Thomas C. Wright, Jr.",
2026,26110001,H0173,Y,H,H0173,Jeion A. Ward,
2026,26110001,H0206,X,H,H0206,Barry D. Knight,
2026,26110001,H0207,Y,H,H0207,Delores L. McQuinn,
2026,26110001,H0208,Y,H,H0208,Charniele L. Herring,
2026,26110001,H0212,Y,H,H0212,Betsy B. Carr,
2026,26110001,H0219,Y,H,H0219,Patrick A. Hope,
2026,26110001,H0224,Y,H,H0224,James W. Morefield,
2026,26110001,H0227,Y,H,H0227,Luke E. Torian,
2026,26110001,H0231,Y,H,H0231,Tony O. Wilt,
2026,26110001,H0238,Y,H,H0238,M. Keith Hodges,
2026,26110001,H0239,Y,H,H0239,Alfonso H. Lopez,
2026,26110001,H0242,Y,H,H0242,Israel D. O'Quinn,
2026,26110001,H0247,Y,H,H0247,Michael J. Webert,
2026,26110001,H0253,Y,H,H0253,Terry L. Austin,
