year,committee_id,committee_name,chamber,member_id,member_name
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0239,Alfonso H. Lopez
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0336,Nadarius E. Clark
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0305,Kathy K.L. Tran
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0323,Shelly A. Simonds
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0327,Rodney T. Willett
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0208,Charniele L. Herring
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0281,Paul E. Krizek
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0349,Jackie H. Glass
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0366,Phil M. Hernandez
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0371,Amy J. Laufer
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0374,Marty Martinez
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0395,John Chilton McAuliff
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0399,Kimberly Pope Adams
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0400,Virgil Thornton
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0393,Lily V. Franklin
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0124,R. Lee Ware
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0136,"Thomas C. Wright, Jr."
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0231,Tony O. Wilt
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0247,Michael J. Webert
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0267,"Robert S. Bloxom, Jr."
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0259,"Hyland F. ""Buddy"" Fowler, Jr."
2026,H01,"Agriculture, Chesapeake and Natural Resources",H,H0369,Hillary Pugh Kent
2026,H02,Appropriations,H,H0227,Luke E. Torian
2026,H02,Appropriations,H,H0212,Betsy B. Carr
2026,H02,Appropriations,H,H0207,Delores L. McQuinn
2026,H02,Appropriations,H,H0281,Paul E. Krizek
2026,H02,Appropriations,H,H0285,"C.E. Cliff Hayes, Jr."
2026,H02,Appropriations,H,H0301,David A. Reid
2026,H02,Appropriations,H,H0327,Rodney T. Willett
2026,H02,Appropriations,H,H0343,Briana D. Sewell
2026,H02,Appropriations,H,H0311,Alex Q. Askew
2026,H02,Appropriations,H,H0208,Charniele L. Herring
2026,H02,Appropriations,H,H0284,"Marcia S. ""Cia"" Price"
2026,H02,Appropriations,H,H0305,Kathy K.L. Tran
2026,H02,Appropriations,H,H0323,Shelly A. Simonds
2026,H02,Appropriations,H,H0382,Joshua E. Thomas
2026,H02,Appropriations,H,H0371,Amy J. Laufer
2026,H02,Appropriations,H,H0253,Terry L. Austin
2026,H02,Appropriations,H,H0224,James W. Morefield
2026,H02,Appropriations,H,H0267,"Robert S. Bloxom, Jr."
2026,H02,Appropriations,H,H0238,M. Keith Hodges
2026,H02,Appropriations,H,H0328,Scott A. Wyatt
