member_id,MBR_NAME,party,directional_votes,eligible_cross_party_votes,party_breaks,cross_party_votes,cross_party_pct,party_break_pct
H0315,Carrie E. Coyner,R,1648,1630,223,211,12.94478527607362,13.531553398058252
H0359,N. Baxter Ennis,R,1471,1456,200,182,12.5,13.596193065941536
H0267,"Robert S. Bloxom, Jr.",R,1630,1617,177,163,10.08039579468151,10.858895705521473
H0337,A.C. Cordoza,R,1474,1469,152,140,9.530292716133424,10.312075983717776
H0373,Ian T. Lovejoy,R,1217,1214,118,117,9.637561779242175,9.69597370583402
H0346,Kim A. Taylor,R,1260,1256,133,117,9.315286624203821,10.555555555555555
H0363,W. Chad Green,R,1455,1438,131,108,7.510431154381085,9.003436426116838
H0224,James W. Morefield,R,1528,1521,130,108,7.100591715976331,8.507853403141361
H0056,Terry G. Kilgore,R,1538,1524,134,104,6.824146981627297,8.712613784135241
H0378,Chris Obenshain,R,1354,1349,123,98,7.264640474425501,9.084194977843426
H0345,Anne Ferrell Tata,R,1609,1594,101,96,6.022584692597239,6.277190801740211
H0253,Terry L. Austin,R,1639,1635,119,88,5.382262996941896,7.26052471018914
H0348,Wren M. Williams,R,1630,1612,188,86,5.334987593052109,11.533742331288344
H0073,"Robert D. Orrock, Sr.",R,1390,1383,93,85,6.146059291395517,6.6906474820143895
H0379,David Owen,R,1360,1356,90,82,6.047197640117994,6.61764705882353
H0358,"Mark L. Earley, Jr.",R,1293,1289,103,81,6.283941039565555,7.965970610982212
H0350,Ellen H. Campbell,R,1550,1544,94,77,4.987046632124352,6.064516129032258
H0367,Geary Higgins,R,1390,1386,102,74,5.339105339105339,7.338129496402877
H0347,"H. Otto Wachsmann, Jr.",R,1408,1405,100,66,4.697508896797153,7.1022727272727275
H0238,M. Keith Hodges,R,1666,1660,90,62,3.734939759036145,5.402160864345738
H0384,Eric Phillips,R,1198,1195,77,60,5.02092050209205,6.42737896494157
H0335,Mike A. Cherry,R,1576,1559,112,56,3.5920461834509303,7.1065989847715745
H0308,Joseph P. McNamara,R,1448,1435,123,54,3.7630662020905925,8.494475138121548
H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,1379,1370,87,52,3.795620437956204,6.30891950688905
H0329,Bill Wiley,R,1530,1522,71,47,3.088042049934297,4.640522875816994
H0231,Tony O. Wilt,R,1462,1440,82,46,3.194444444444444,5.60875512995896
H0333,Jason S. Ballard,R,1577,1565,63,45,2.8753993610223643,3.9949270767279645
H0376,Paul V. Milde,R,1182,1180,108,44,3.728813559322034,9.137055837563452
H0247,Michael J. Webert,R,1474,1452,154,44,3.0303030303030303,10.44776119402985
H0124,R. Lee Ware,R,1265,1255,98,43,3.4262948207171315,7.747035573122529
H0262,"James A. ""Jay"" Leftwich",R,1574,1566,123,42,2.681992337164751,7.814485387547649
H0369,Hillary Pugh Kent,R,1206,1200,61,40,3.3333333333333335,5.05804311774461
H0313,Amanda E. Batten,R,1632,1613,132,37,2.2938623682579045,8.088235294117647
H0357,Will Davis,R,1368,1362,49,34,2.4963289280469896,3.5818713450292394
H0328,Scott A. Wyatt,R,1476,1472,70,34,2.309782608695652,4.742547425474255
H0325,Wendell S. Walker,R,1380,1374,58,30,2.1834061135371177,4.202898550724638
H0242,Israel D. O'Quinn,R,1430,1414,49,27,1.9094766619519095,3.4265734265734267
H0352,"Jonathan ""Jed"" Arnold",R,1441,1436,79,21,1.4623955431754874,5.482303955586398
H0321,Chris S. Runion,R,1420,1405,79,20,1.4234875444839856,5.563380281690141
H0150,"Daniel W. Marshall, III",R,430,419,40,18,4.295942720763723,9.30232558139535
H0362,"Thomas A. Garrett, Jr.",R,1223,1210,157,15,1.2396694214876034,12.837285363859364
H0330,Candi Mundon King,D,1517,1493,38,15,1.0046885465505693,2.5049439683586026
H0279,Nicholas J. Freitas,R,1271,1257,196,13,1.0342084327764518,15.420928402832415
H0264,Marcus B. Simon,D,1701,1690,46,12,0.7100591715976331,2.704291593180482
H0206,Barry D. Knight,R,434,431,23,11,2.5522041763341066,5.299539170506913
