member_id,MBR_NAME,party,total_vote_records,directional_votes,eligible_cross_party_votes,party_breaks,cross_party_votes,cross_party_pct,party_break_pct
H0267,"Robert S. Bloxom, Jr.",R,2376,2351,2337,274,253,10.825845100556268,11.654615057422374
H0224,James W. Morefield,R,2219,2200,2172,211,189,8.701657458563536,9.59090909090909
H0348,Wren M. Williams,R,2380,2143,2137,238,153,7.159569489939168,11.105926271581895
H0335,Mike A. Cherry,R,2204,2181,2167,184,136,6.275957544993078,8.436497019715727
H0350,Ellen H. McLaughlin,R,2321,2231,2212,149,136,6.148282097649186,6.678619453160017
H0253,Terry L. Austin,R,2371,2348,2331,158,129,5.534105534105534,6.729131175468483
H0056,Terry G. Kilgore,R,2439,2382,2367,157,121,5.111956062526405,6.591099916036944
H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,1979,1927,1916,161,120,6.263048016701461,8.354955889984431
H0347,"H. Otto Wachsmann, Jr.",R,1943,1941,1934,140,111,5.739400206825232,7.212776919113859
H0345,Anne Ferrell Tata,R,2003,1996,1985,142,111,5.591939546599496,7.114228456913827
H0308,Joseph P. McNamara,R,1790,1745,1735,166,109,6.28242074927954,9.512893982808022
H0384,Eric Phillips,R,1849,1813,1808,119,92,5.0884955752212395,6.563706563706563
H0238,M. Keith Hodges,R,2319,2294,2277,118,88,3.864734299516908,5.143853530950305
H0401,Madison Whittle,R,2060,2023,2015,158,83,4.11910669975186,7.810182896688087
H0231,Tony O. Wilt,R,2137,2131,2116,131,77,3.6389413988657844,6.147348662599718
H0329,Bill Wiley,R,2338,2335,2322,101,74,3.1869078380706286,4.325481798715203
H0242,Israel D. O'Quinn,R,2219,2201,2188,98,70,3.19926873857404,4.4525215810995
H0262,"James A. ""Jay"" Leftwich",R,1960,1933,1924,136,65,3.3783783783783785,7.035695809622348
H0247,Michael J. Webert,R,2165,2059,2048,182,65,3.173828125,8.839242350655658
H0395,John Chilton McAuliff,D,1815,1633,1630,68,60,3.6809815950920246,4.164115125535823
H0369,Hillary Pugh Kent,R,1977,1969,1964,122,54,2.74949083503055,6.196038598273235
H0124,R. Lee Ware,R,1863,1833,1828,96,52,2.8446389496717726,5.237315875613748
