member_id,MBR_NAME,party,topic_name,topic_vote_events,eligible_topic_events,party_break_events,cross_party_events,cross_party_pct
H0267,"Robert S. Bloxom, Jr.",R,Unclassified,589,573,62,55,9.598603839441536
H0224,James W. Morefield,R,Unclassified,527,517,49,44,8.51063829787234
H0267,"Robert S. Bloxom, Jr.",R,Housing,164,161,38,36,22.36024844720497
H0348,Wren M. Williams,R,Unclassified,555,498,47,33,6.626506024096386
H0267,"Robert S. Bloxom, Jr.",R,Education,240,238,35,32,13.445378151260504
H0345,Anne Ferrell Tata,R,Education,409,403,36,32,7.94044665012407
H0350,Ellen H. McLaughlin,R,Unclassified,580,540,37,32,5.9259259259259265
H0224,James W. Morefield,R,Housing,144,140,31,31,22.142857142857142
H0329,Bill Wiley,R,Unclassified,571,563,38,28,4.9733570159857905
H0224,James W. Morefield,R,Local Government,180,172,27,27,15.69767441860465
H0056,Terry G. Kilgore,R,Energy and Utilities,294,277,28,26,9.386281588447654
H0395,John Chilton McAuliff,D,Firearms,71,67,25,25,37.3134328358209
H0267,"Robert S. Bloxom, Jr.",R,Local Government,136,136,25,25,18.38235294117647
H0308,Joseph P. McNamara,R,Energy and Utilities,159,149,30,25,16.778523489932887
H0348,Wren M. Williams,R,Education,220,211,32,25,11.848341232227488
H0348,Wren M. Williams,R,Energy and Utilities,278,254,40,25,9.84251968503937
H0253,Terry L. Austin,R,Unclassified,594,577,33,25,4.332755632582322
H0056,Terry G. Kilgore,R,Unclassified,634,603,37,25,4.1459369817578775
H0253,Terry L. Austin,R,Energy and Utilities,173,172,24,24,13.953488372093023
H0267,"Robert S. Bloxom, Jr.",R,Energy and Utilities,182,178,26,24,13.48314606741573
H0345,Anne Ferrell Tata,R,Unclassified,452,448,29,23,5.133928571428571
H0347,"H. Otto Wachsmann, Jr.",R,Unclassified,458,454,25,23,5.066079295154185
H0401,Madison Whittle,R,Unclassified,512,501,38,23,4.590818363273453
H0347,"H. Otto Wachsmann, Jr.",R,Housing,90,90,23,22,24.444444444444443
H0267,"Robert S. Bloxom, Jr.",R,Elections and Voting,170,169,22,22,13.017751479289942
H0335,Mike A. Cherry,R,Elections and Voting,161,160,25,21,13.125
H0401,Madison Whittle,R,Education,321,315,35,21,6.666666666666667
H0384,Eric Phillips,R,Unclassified,424,404,26,21,5.198019801980198
H0335,Mike A. Cherry,R,Unclassified,506,493,29,21,4.259634888438134
H0348,Wren M. Williams,R,Criminal Justice,238,219,25,20,9.1324200913242
H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Unclassified,481,468,28,20,4.273504273504273
H0242,Israel D. O'Quinn,R,Unclassified,523,514,27,20,3.8910505836575875
H0238,M. Keith Hodges,R,Unclassified,550,545,28,20,3.669724770642202
H0350,Ellen H. McLaughlin,R,Housing,140,130,19,19,14.615384615384617
H0224,James W. Morefield,R,Energy and Utilities,178,175,20,19,10.857142857142858
H0267,"Robert S. Bloxom, Jr.",R,Environment and Conservation,92,91,20,18,19.78021978021978
H0224,James W. Morefield,R,Elections and Voting,111,111,18,18,16.216216216216218
H0267,"Robert S. Bloxom, Jr.",R,Taxes and Revenue,63,63,17,17,26.984126984126984
H0335,Mike A. Cherry,R,Education,413,405,31,17,4.197530864197531
H0231,Tony O. Wilt,R,Unclassified,468,460,28,17,3.6956521739130435
H0262,"James A. ""Jay"" Leftwich",R,Unclassified,495,486,37,17,3.4979423868312756
H0345,Anne Ferrell Tata,R,Local Government,160,158,22,16,10.126582278481013
H0345,Anne Ferrell Tata,R,Environment and Conservation,57,57,15,15,26.31578947368421
H0231,Tony O. Wilt,R,Criminal Justice,178,177,15,15,8.47457627118644
H0350,Ellen H. McLaughlin,R,Energy and Utilities,185,181,15,15,8.287292817679557
H0384,Eric Phillips,R,Taxes and Revenue,50,48,15,14,29.166666666666668
H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Environment and Conservation,86,86,16,14,16.27906976744186
H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Housing,125,124,17,14,11.29032258064516
H0253,Terry L. Austin,R,Local Government,137,137,14,14,10.218978102189782
H0335,Mike A. Cherry,R,Criminal Justice,148,145,14,14,9.655172413793103
H0253,Terry L. Austin,R,Housing,158,157,14,14,8.9171974522293
H0350,Ellen H. McLaughlin,R,Criminal Justice,165,161,15,14,8.695652173913043
