member_id,MBR_NAME,party,topic_name,topic_status,comparable_topic_sample,robust_topic_sample,topic_vote_events_2025,topic_vote_events_2026,eligible_topic_events_2025,eligible_topic_events_2026,eligible_topic_event_change,cross_party_events_2025,cross_party_events_2026,cross_party_event_change,cross_party_pct_2025,cross_party_pct_2026,cross_party_pct_change,party_break_events_2025,party_break_events_2026,party_break_event_change,MBR_NAME_2025,MBR_NAME_2026,party_2025,party_2026
H0238,M. Keith Hodges,R,Taxes and Revenue,Present both years,True,True,85.0,57.0,84.0,55.0,-29.0,1.0,12.0,11.0,1.1904761904761905,21.818181818181817,20.627705627705627,2.0,13.0,11.0,M. Keith Hodges,M. Keith Hodges,R,R
H0266,Sam Rasoul,D,Taxes and Revenue,Present both years,True,True,86.0,53.0,77.0,52.0,-25.0,0.0,10.0,10.0,0.0,19.230769230769237,19.230769230769237,1.0,10.0,9.0,Sam Rasoul,Sam Rasoul,D,D
H0348,Wren M. Williams,R,Taxes and Revenue,Present both years,True,True,82.0,54.0,82.0,52.0,-30.0,4.0,12.0,8.0,4.878048780487805,23.07692307692308,18.198874296435275,8.0,13.0,5.0,Wren M. Williams,Wren M. Williams,R,R
H0347,"H. Otto Wachsmann, Jr.",R,Taxes and Revenue,Present both years,True,True,74.0,50.0,74.0,50.0,-24.0,3.0,11.0,8.0,4.054054054054054,22.0,17.945945945945944,4.0,11.0,7.0,"H. Otto Wachsmann, Jr.","H. Otto Wachsmann, Jr.",R,R
H0350,Ellen H. McLaughlin,R,Taxes and Revenue,Present both years,True,True,91.0,63.0,88.0,55.0,-33.0,1.0,10.0,9.0,1.1363636363636365,18.181818181818183,17.045454545454547,3.0,11.0,8.0,Ellen H. Campbell,Ellen H. McLaughlin,R,R
H0267,"Robert S. Bloxom, Jr.",R,Taxes and Revenue,Present both years,True,True,89.0,63.0,89.0,63.0,-26.0,9.0,17.0,8.0,10.112359550561797,26.984126984126984,16.87176743356519,10.0,17.0,7.0,"Robert S. Bloxom, Jr.","Robert S. Bloxom, Jr.",R,R
H0382,Joshua E. Thomas,D,Taxes and Revenue,Present both years,True,True,83.0,59.0,82.0,58.0,-24.0,0.0,9.0,9.0,0.0,15.517241379310343,15.517241379310343,1.0,9.0,8.0,Joshua E. Thomas,Joshua E. Thomas,D,D
H0345,Anne Ferrell Tata,R,Environment and Conservation,Present both years,True,True,65.0,57.0,64.0,57.0,-7.0,7.0,15.0,8.0,10.9375,26.31578947368421,15.378289473684209,7.0,15.0,8.0,Anne Ferrell Tata,Anne Ferrell Tata,R,R
H0349,Jackie H. Glass,D,Taxes and Revenue,Present both years,True,True,77.0,52.0,77.0,52.0,-25.0,0.0,7.0,7.0,0.0,13.461538461538462,13.461538461538462,1.0,7.0,6.0,Jackie H. Glass,Jackie H. Glass,D,D
H0351,Holly M. Seibold,D,Taxes and Revenue,Present both years,True,True,78.0,57.0,78.0,54.0,-24.0,0.0,7.0,7.0,0.0,12.962962962962962,12.962962962962962,0.0,11.0,11.0,Holly M. Seibold,Holly M. Seibold,D,D
H0224,James W. Morefield,R,Taxes and Revenue,Present both years,True,True,91.0,64.0,87.0,62.0,-25.0,7.0,13.0,6.0,8.045977011494253,20.967741935483872,12.921764923989619,8.0,18.0,10.0,James W. Morefield,James W. Morefield,R,R
H0356,Rae Cousins,D,Taxes and Revenue,Present both years,True,True,79.0,55.0,79.0,55.0,-24.0,0.0,7.0,7.0,0.0,12.727272727272728,12.727272727272728,0.0,7.0,7.0,Rae Cousins,Rae Cousins,D,D
H0253,Terry L. Austin,R,Taxes and Revenue,Present both years,True,True,89.0,70.0,88.0,70.0,-18.0,4.0,12.0,8.0,4.545454545454546,17.142857142857142,12.597402597402596,5.0,13.0,8.0,Terry L. Austin,Terry L. Austin,R,R
H0284,"Marcia S. ""Cia"" Price",D,Taxes and Revenue,Present both years,True,True,81.0,64.0,81.0,64.0,-17.0,0.0,8.0,8.0,0.0,12.5,12.5,1.0,13.0,12.0,"Marcia S. ""Cia"" Price","Marcia S. ""Cia"" Price",D,D
H0328,Scott A. Wyatt,R,Taxes and Revenue,Present both years,True,True,87.0,59.0,86.0,59.0,-27.0,1.0,8.0,7.0,1.162790697674419,13.559322033898304,12.396531336223886,2.0,11.0,9.0,Scott A. Wyatt,Scott A. Wyatt,R,R
H0305,Kathy K.L. Tran,D,Taxes and Revenue,Present both years,True,True,150.0,57.0,149.0,57.0,-92.0,0.0,7.0,7.0,0.0,12.280701754385964,12.280701754385964,13.0,8.0,-5.0,Kathy K.L. Tran,Kathy K.L. Tran,D,D
H0056,Terry G. Kilgore,R,Taxes and Revenue,Present both years,True,True,84.0,57.0,84.0,57.0,-27.0,6.0,11.0,5.0,7.142857142857142,19.29824561403509,12.155388471177947,8.0,12.0,4.0,Terry G. Kilgore,Terry G. Kilgore,R,R
H0267,"Robert S. Bloxom, Jr.",R,Environment and Conservation,Present both years,True,True,108.0,92.0,106.0,91.0,-15.0,9.0,18.0,9.0,8.49056603773585,19.78021978021978,11.289653742483932,10.0,20.0,10.0,"Robert S. Bloxom, Jr.","Robert S. Bloxom, Jr.",R,R
H0224,James W. Morefield,R,Housing,Present both years,True,True,93.0,144.0,90.0,140.0,50.0,10.0,31.0,21.0,11.11111111111111,22.142857142857142,11.031746031746032,11.0,31.0,20.0,James W. Morefield,James W. Morefield,R,R
