member_id,MBR_NAME_2025,party_2025,topic_name,topic_vote_events_2025,directional_topic_votes_2025,yes_votes_2025,no_votes_2025,yes_pct_2025,no_pct_2025,voting_tendency_2025,topic_provenance_2025,MBR_NAME_2026,party_2026,topic_vote_events_2026,directional_topic_votes_2026,yes_votes_2026,no_votes_2026,yes_pct_2026,no_pct_2026,voting_tendency_2026,topic_provenance_2026,topic_status,comparable_tendency,voting_tendency_changed,data_availability_changed,yes_pct_change,directional_topic_vote_change,MBR_NAME,party
H0238,M. Keith Hodges,R,Technology and Data,35.0,35.0,12.0,23.0,34.285714285714285,65.71428571428571,NO,Derived from LIS bill summary | Derived from LIS bill description,M. Keith Hodges,R,24.0,24.0,21.0,3.0,87.5,12.5,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,53.214285714285715,-11.0,M. Keith Hodges,R
H0335,Mike A. Cherry,R,Data Centers,10.0,10.0,1.0,9.0,10.0,90.0,NO,Derived from LIS bill summary | Derived from LIS bill description,Mike A. Cherry,R,16.0,16.0,10.0,6.0,62.5,37.5,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,52.5,6.0,Mike A. Cherry,R
H0242,Israel D. O'Quinn,R,Data Centers,11.0,11.0,0.0,11.0,0.0,100.0,NO,Derived from LIS bill summary | Derived from LIS bill description,Israel D. O'Quinn,R,17.0,17.0,8.0,9.0,47.05882352941176,52.94117647058824,MIXED,Derived from LIS bill description,Present both years,True,True,False,47.05882352941176,6.0,Israel D. O'Quinn,R
H0333,Jason S. Ballard,R,Data Centers,10.0,10.0,0.0,10.0,0.0,100.0,NO,Derived from LIS bill summary | Derived from LIS bill description,Jason S. Ballard,R,17.0,17.0,8.0,9.0,47.05882352941176,52.94117647058824,MIXED,Derived from LIS bill description,Present both years,True,True,False,47.05882352941176,7.0,Jason S. Ballard,R
H0345,Anne Ferrell Tata,R,Data Centers,15.0,15.0,3.0,12.0,20.0,80.0,NO,Derived from LIS bill summary | Derived from LIS bill description,Anne Ferrell Tata,R,20.0,19.0,12.0,7.0,63.1578947368421,36.84210526315789,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,43.1578947368421,4.0,Anne Ferrell Tata,R
H0350,Ellen H. Campbell,R,Data Centers,13.0,13.0,2.0,11.0,15.384615384615385,84.61538461538461,NO,Derived from LIS bill summary | Derived from LIS bill description,Ellen H. McLaughlin,R,19.0,19.0,11.0,8.0,57.89473684210527,42.10526315789473,MIXED,Derived from LIS bill description,Present both years,True,True,False,42.51012145748988,6.0,Ellen H. McLaughlin,R
H0328,Scott A. Wyatt,R,Data Centers,11.0,11.0,0.0,11.0,0.0,100.0,NO,Derived from LIS bill summary | Derived from LIS bill description,Scott A. Wyatt,R,19.0,19.0,8.0,11.0,42.10526315789473,57.89473684210527,MIXED,Derived from LIS bill description,Present both years,True,True,False,42.10526315789473,8.0,Scott A. Wyatt,R
H0377,Delores Oates,R,Data Centers,13.0,13.0,2.0,11.0,15.384615384615385,84.61538461538461,NO,Derived from LIS bill summary | Derived from LIS bill description,Delores Oates,R,15.0,15.0,8.0,7.0,53.333333333333336,46.666666666666664,MIXED,Derived from LIS bill description,Present both years,True,True,False,37.94871794871795,2.0,Delores Oates,R
H0224,James W. Morefield,R,Data Centers,15.0,15.0,2.0,13.0,13.333333333333334,86.66666666666667,NO,Derived from LIS bill summary | Derived from LIS bill description,James W. Morefield,R,20.0,20.0,10.0,10.0,50.0,50.0,MIXED,Derived from LIS bill description,Present both years,True,True,False,36.666666666666664,5.0,James W. Morefield,R
H0267,"Robert S. Bloxom, Jr.",R,Marriage and Domestic Relations,36.0,36.0,20.0,16.0,55.55555555555556,44.44444444444444,MIXED,Derived from LIS bill summary | Derived from LIS bill description,"Robert S. Bloxom, Jr.",R,18.0,18.0,16.0,2.0,88.88888888888889,11.11111111111111,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,33.33333333333333,-18.0,"Robert S. Bloxom, Jr.",R
H0308,Joseph P. McNamara,R,Marriage and Domestic Relations,33.0,33.0,17.0,16.0,51.515151515151516,48.484848484848484,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Joseph P. McNamara,R,19.0,19.0,16.0,3.0,84.21052631578947,15.789473684210526,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,32.69537480063795,-14.0,Joseph P. McNamara,R
H0238,M. Keith Hodges,R,Data Centers,15.0,15.0,2.0,13.0,13.333333333333334,86.66666666666667,NO,Derived from LIS bill summary | Derived from LIS bill description,M. Keith Hodges,R,20.0,20.0,9.0,11.0,45.0,55.00000000000001,MIXED,Derived from LIS bill description,Present both years,True,True,False,31.666666666666664,5.0,M. Keith Hodges,R
H0247,Michael J. Webert,R,Technology and Data,24.0,24.0,12.0,12.0,50.0,50.0,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Michael J. Webert,R,27.0,26.0,21.0,5.0,80.76923076923077,19.230769230769234,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,30.769230769230774,2.0,Michael J. Webert,R
H0224,James W. Morefield,R,Technology and Data,25.0,25.0,14.0,11.0,56.00000000000001,44.0,MIXED,Derived from LIS bill summary | Derived from LIS bill description,James W. Morefield,R,32.0,30.0,26.0,4.0,86.66666666666667,13.333333333333334,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,30.666666666666664,5.0,James W. Morefield,R
H0348,Wren M. Williams,R,Business and Commerce,73.0,73.0,29.0,44.0,39.726027397260275,60.273972602739725,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Wren M. Williams,R,79.0,77.0,54.0,23.0,70.12987012987013,29.87012987012987,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,30.403842732609853,4.0,Wren M. Williams,R
