Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
HB1669,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,"Brodnax, Town of; amending charter, election of mayor.",True,\belections?\b
HJ431,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Blacksburg High School girls' track and field team.,True,\bhigh school\b
HJ432,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Christiansburg High School softball team.,True,\bhigh school\b
HJ434,Local Government,Derived from LIS bill description,,,BILLS.CSV,Coastal storm risk management studies; non-federal sponsor contributions by localities.,True,\blocalit
HJ438,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Glenvar High School girls' soccer team.,True,\bhigh school\b
HJ439,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Glenvar High School boys' soccer team.,True,\bhigh school\b
HJ440,Education,Derived from LIS bill description,,,BILLS.CSV,Public school libraries; JLARC to study removal of books.,True,\bpublic schools?\b
HJ441,Education,Derived from LIS bill description,,,BILLS.CSV,Elementary/secondary schools; Va. Com. on youth to study policies to support student mental health.,True,\bstudents?\b
HJ441,Behavioral Health,Derived from LIS bill description,,,BILLS.CSV,Elementary/secondary schools; Va. Com. on youth to study policies to support student mental health.,True,\bmental health\b
HJ442,Housing,Derived from LIS bill description,,,BILLS.CSV,Affordable housing; study on tax policies enacted by the Commonwealth & political subdivisions.,True,\baffordable housing\b
HJ443,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,Consolidation and scheduling of general elections; joint subcommittee to study.,True,\belections?\b
HJ444,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,Virginia's campaign finance laws; Joint Legislative Audit and Review Commission to study.,True,\bcampaign finance\b
HJ445,Transportation,Derived from LIS bill description,,,BILLS.CSV,Persons with disabilities;  JLARC to study transportation options in rural areas.,True,\btransportation\b
HJ447,Social Services,Derived from LIS bill description,,,BILLS.CSV,"Statewide food desert mapping tool; Virginia Commission to End Hunger to establish, report.",True,\bhunger\b
HJ448,Environment and Conservation,Derived from LIS bill description,,,BILLS.CSV,Litter tax; Department of Environmental Quality to study tax policy options for reforming.,True,\benvironmental\b
HJ449,Transportation,Derived from LIS bill description,,,BILLS.CSV,Hybrid and electric trucks; Department of Transportation to study options for taxation.,True,\bdepartment of transportation\b
HJ449,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,Hybrid and electric trucks; Department of Transportation to study options for taxation.,True,\btaxation\b
HJ451,Local Government,Derived from LIS bill description,,,BILLS.CSV,Land value; DHCD to study tax implications of allowing localities to implement a tax.,True,\blocalit
HJ454,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,Automation of ports in the Commonwealth; JLARC to study economic and workforce impacts.,True,\bworkforce\b
HJ456,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Auburn High School girls' soccer team.,True,\bhigh school\b
HJ457,Transportation,Derived from LIS bill description,,,BILLS.CSV,"Constitutional amendment; tax exemption for motor vehicles owned for personal, noncommercial use.",True,\bmotor vehicles?\b
HJ464,Insurance,Derived from LIS bill description,,,BILLS.CSV,Cardiovascular disease screening coverage; Health Insurance Reform Commission to study.,True,\bhealth insurance\b
HJ468,Education,Derived from LIS bill description,,,BILLS.CSV,"Higher education institutions, public; JLARC to study cost efficiency.",True,\beducation\b
HJ468,Higher Education,Derived from LIS bill description,,,BILLS.CSV,"Higher education institutions, public; JLARC to study cost efficiency.",True,\bhigher education\b
HJ473,Business and Commerce,Derived from LIS bill description,,,BILLS.CSV,Commercial Waterman Safety Week.,True,\bcommercial\b
HJ474,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Lancaster High School boys' basketball team.,True,\bhigh school\b
HJ481,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Blacksburg High School golf team.,True,\bhigh school\b
HJ482,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Auburn High School golf team.,True,\bhigh school\b
HJ500,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,Election Worker Appreciation Day.,True,\belections?\b
HJ556,Education,Derived from LIS bill description,,,BILLS.CSV,Commending Newport News Public Schools Youth Development.,True,\bpublic schools?\b
HJ557,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,Commending the Hampton Roads Workforce Council.,True,\bworkforce\b
HJ561,Agriculture and Food,Derived from LIS bill description,,,BILLS.CSV,Commending hemp farmers in Virginia.,True,\bfarmers?\b
HJ589,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Oscar Smith High School football team.,True,\bhigh school\b
HJ628,Family and Children,Derived from LIS bill description,,,BILLS.CSV,Commending Children's Home Society of Virginia.,True,\bchildren\b
HJ644,Behavioral Health,Derived from LIS bill description,,,BILLS.CSV,Commending the Substance Abuse and Addiction Recovery Alliance of Virginia.,True,\bsubstance abuse\b
HJ664,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the John R. Lewis High School boys' soccer team.,True,\bhigh school\b
HJ665,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Thomas A. Edison High School girls' cross country team.,True,\bhigh school\b
HJ678,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Roanoke Higher Education Center.,True,\beducation\b
HJ678,Higher Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Roanoke Higher Education Center.,True,\bhigher education\b
HJ692,Education,Derived from LIS bill description,,,BILLS.CSV,Commending Spring Hill Elementary School.,True,\belementary school\b
HJ694,Energy and Utilities,Derived from LIS bill description,,,BILLS.CSV,Commending the Chesapeake Solar and Storage Association.,True,\bsolar\b
HJ695,Education,Derived from LIS bill description,,,BILLS.CSV,Commending Virginia History Day students and teachers.,True,\bstudents?\b
HJ725,Education,Derived from LIS bill description,,,BILLS.CSV,Commending Halley Elementary School.,True,\belementary school\b
HJ733,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Tunstall High School chapter of Future Farmers of America.,True,\bhigh school\b
HJ733,Agriculture and Food,Derived from LIS bill description,,,BILLS.CSV,Commending the Tunstall High School chapter of Future Farmers of America.,True,\bfarmers?\b
HJ734,Education,Derived from LIS bill description,,,BILLS.CSV,Commending Washington-Liberty High School.,True,\bhigh school\b
HJ736,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,Commending Northern Virginia Veterinary Medical Association.,True,\bmedical\b
HJ740,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the All-State First Team selections on the Oscar Smith High School football team.,True,\bhigh school\b
HJ756,Education,Derived from LIS bill description,,,BILLS.CSV,Commending Arlington Public Schools' recipients of The Posse Foundation and QuestBridge scholarship.,True,\bpublic schools?\b
HJ757,Education,Derived from LIS bill description,,,BILLS.CSV,Commending Alexandria City Public Schools' recipients of scholarships.,True,\bpublic schools?\b
HR458,Education,Derived from LIS bill description,,,BILLS.CSV,Commending Midlothian High School.,True,\bhigh school\b
HR461,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the James Wood High School volleyball team.,True,\bhigh school\b
HR474,Marriage and Domestic Relations,Derived from LIS bill description,,,BILLS.CSV,Judges; nominations for election to juvenile and domestic relations district court.,True,\bdomestic relations\b
HR477,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Marion Senior High School girls' tennis team.,True,\bhigh school\b
HR479,Education,Derived from LIS bill description,,,BILLS.CSV,Commending Grayson County High School.,True,\bhigh school\b
HR495,Education,Derived from LIS bill description,,,BILLS.CSV,Commending Saltville Elementary School.,True,\belementary school\b
HR497,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Grayson County High School football team.,True,\bhigh school\b
HR501,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Tallwood High School boys' outdoor track and field team.,True,\bhigh school\b
HR503,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Princess Anne High School girls' basketball team.,True,\bhigh school\b
HR519,Education,Derived from LIS bill description,,,BILLS.CSV,Commending Virginia Beach City Public Schools.,True,\bpublic schools?\b
HR533,Education,Derived from LIS bill description,,,BILLS.CSV,"Commending the New Chesapeake Men for Progress Education Foundation, Inc.",True,\beducation\b
HR581,Transportation,Derived from LIS bill description,,,BILLS.CSV,Commending the Stafford County African American History driving tour.,True,\bdriving\b
HR606,Education,Derived from LIS bill description,,,BILLS.CSV,Commending T. Clay Wood Elementary School.,True,\belementary school\b
HR613,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,Federal workforce in Virginia; opposition to downsizing.,True,\bworkforce\b
HR614,Business and Commerce,Derived from LIS bill description,,,BILLS.CSV,Commending the Virginia Asian Chamber of Commerce.,True,\bcommerce\b
HR630,Agriculture and Food,Derived from LIS bill description,,,BILLS.CSV,Commending agricultural producers in Virginia.,True,\bagricultur
HR651,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Douglas Freeman High School girls' lacrosse team.,True,\bhigh school\b
HR655,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Clarke County High School boys' cross country team.,True,\bhigh school\b
HR669,Agriculture and Food,Derived from LIS bill description,,,BILLS.CSV,Commending the National Center for Healthy Veterans at Valor Farm.,True,\bfarms?\b
HR678,Education,Derived from LIS bill description,,,BILLS.CSV,Commending Bon Air Elementary School.,True,\belementary school\b
HR705,Environment and Conservation,Derived from LIS bill description,,,BILLS.CSV,Commending the Rotary Club of Forest.,True,\bforest\b
HR707,Agriculture and Food,Derived from LIS bill description,,,BILLS.CSV,Commending Moneta Farm and Home Center.,True,\bfarms?\b
HR732,Education,Derived from LIS bill description,,,BILLS.CSV,Commending Hollin Meadows Elementary School.,True,\belementary school\b
HR734,Education,Derived from LIS bill description,,,BILLS.CSV,Commending Fair Oaks Elementary School.,True,\belementary school\b
HR743,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Mechanicsville High School chapter of Future Farmers of America.,True,\bhigh school\b
HR743,Agriculture and Food,Derived from LIS bill description,,,BILLS.CSV,Commending the Mechanicsville High School chapter of Future Farmers of America.,True,\bfarmers?\b
HR744,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Atlee High School chapter of Future Farmers of America.,True,\bhigh school\b
HR744,Agriculture and Food,Derived from LIS bill description,,,BILLS.CSV,Commending the Atlee High School chapter of Future Farmers of America.,True,\bfarmers?\b
HR745,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Hanover High School chapter of Future Farmers of America.,True,\bhigh school\b
HR745,Agriculture and Food,Derived from LIS bill description,,,BILLS.CSV,Commending the Hanover High School chapter of Future Farmers of America.,True,\bfarmers?\b
HR767,Agriculture and Food,Derived from LIS bill description,,,BILLS.CSV,Commending Spring Valley Farms.,True,\bfarms?\b
HR795,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Phoebus High School football team.,True,\bhigh school\b
HR804,Marriage and Domestic Relations,Derived from LIS bill description,,,BILLS.CSV,Nominating persons to be elected to juvenile and domestic relations district court judgeships.,True,\bdomestic relations\b
HR842,Agriculture and Food,Derived from LIS bill description,,,BILLS.CSV,Commending the 4-H clubs and Future Farmers of America chapters in Washington County.,True,\bfarmers?\b
HR850,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Forest Park High School robotics program.,True,\bhigh school\b
HR850,Environment and Conservation,Derived from LIS bill description,,,BILLS.CSV,Commending the Forest Park High School robotics program.,True,\bforest\b
HR857,Education,Derived from LIS bill description,,,BILLS.CSV,Commending Tarrallton Elementary School.,True,\belementary school\b
HR871,Education,Derived from LIS bill description,,,BILLS.CSV,Commending the Woodside High School theatre program.,True,\bhigh school\b
SB738,Education,Derived from LIS bill description,,,BILLS.CSV,Public elementary & secondary schools; student cell phone & smart device possession & use policies.,True,\bstudents?\b
SB739,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,"Certified registered nurse anesthetists; supervision, report.",True,\bnurses?\b
SB740,Education,Derived from LIS bill description,,,BILLS.CSV,"Medicine, Board of; continuing education, unconscious bias and cultural competency.",True,\beducation\b
SB743,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,Reproductive health care services; prohibitions on extradition for certain crimes.,True,\bhealth care\b
SB743,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,Reproductive health care services; prohibitions on extradition for certain crimes.,True,\bcrimes?\b
SB744,Firearms,Derived from LIS bill description,,,BILLS.CSV,Firearm transfers to another person from a prohibited person.,True,\bfirearms?\b
SB745,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,Therapeutic interchange; Bd. of Pharmacy to convene work group to review authority of pharmacists.,True,\bpharmacy\b
SB746,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,"Felony homicide; certain drug offenses, penalty.",True,\boffenses?\b
SB747,Marriage and Domestic Relations,Derived from LIS bill description,,,BILLS.CSV,Juvenile & domestic relations district courts; delinquent juveniles; social assessment & evaluation.,True,\bdomestic relations\b
SB749,Education,Derived from LIS bill description,,,BILLS.CSV,K-12 schools and institutions of higher education; student participation in women's sports; civil cause of action.,True,\bstudents?\b
SB749,Higher Education,Derived from LIS bill description,,,BILLS.CSV,K-12 schools and institutions of higher education; student participation in women's sports; civil cause of action.,True,\bhigher education\b
SB750,Transportation,Derived from LIS bill description,,,BILLS.CSV,"Vehicle operation; authorizing operation of motor vehicle by unlicensed minor, penalty.",True,\bmotor vehicles?\b
SB750,Family and Children,Derived from LIS bill description,,,BILLS.CSV,"Vehicle operation; authorizing operation of motor vehicle by unlicensed minor, penalty.",True,\bminors?\b
SB752,Education,Derived from LIS bill description,,,BILLS.CSV,"Bd. of Psychology, et al., to study education, training, etc.",True,\beducation\b
SB754,Business and Commerce,Derived from LIS bill description,,,BILLS.CSV,"Consumer Protection Act; prohibited practices, etc., reproductive or sexual health information.",True,\bconsumer protection\b
SB755,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,"School safety; employment of school security officers, criteria.",True,\bemployment\b
SB756,Education,Derived from LIS bill description,,,BILLS.CSV,"Public education; early childhood care and education, funding formula calculations, etc.",True,\beducation\b
SB758,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,Remote monitoring services for pregnant and postpartum patients; reimbursement.,True,\bpatients?\b
SB759,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,Contracts assigning rights to earned wages; legal rate of interest.,True,\bwages?\b
SB760,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,"Elections; deadline for receipt of absentee ballots and certain other information, etc.",True,\belections?\b
SB763,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,Income tax deduction; tips.,True,\bincome tax\b
SB764,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,Elections; voter identification; identification containing a photograph required.,True,\belections?\b
SB765,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,Incapacitated persons; finding of lack of capacity to understand act of voting.,True,\bvoting\b
SB767,Education,Derived from LIS bill description,,,BILLS.CSV,Virginia National Guard; financial assistance for tuition grants.,True,\btuition\b
SB768,Education,Derived from LIS bill description,,,BILLS.CSV,"School-based mental and behavioral health services; DOE to survey local education agencies, report.",True,\beducation\b
SB768,Behavioral Health,Derived from LIS bill description,,,BILLS.CSV,"School-based mental and behavioral health services; DOE to survey local education agencies, report.",True,\bbehavioral health\b
SB770,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,"Correctional facilities, local, regional, and community; reviews of deaths of inmates, report.",True,\bcorrectional\b
SB772,Social Services,Derived from LIS bill description,,,BILLS.CSV,"Social Services, Department of; applications for public assistance, immigration status inquiry.",True,\bsocial services\b
SB773,Family and Children,Derived from LIS bill description,,,BILLS.CSV,"Foster care; housing services, housing plan, report.",True,\bfoster care\b
SB775,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,"Election offenses; dissemination of artificial audio or artificial visual media, etc., penalty.",True,\boffenses?\b
SB775,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,"Election offenses; dissemination of artificial audio or artificial visual media, etc., penalty.",True,\belections?\b
SB776,Transportation,Derived from LIS bill description,,,BILLS.CSV,"Law-enforcement officers, state and local; enforcement of federal traffic violations in Northern Va.",True,\btraffic\b
SB776,Public Safety,Derived from LIS bill description,,,BILLS.CSV,"Law-enforcement officers, state and local; enforcement of federal traffic violations in Northern Va.",True,\blaw-enforcement officers?\b
SB777,Energy and Utilities,Derived from LIS bill description,,,BILLS.CSV,"Income-Qualified Energy Efficiency and Weatherization Task Force; established, definitions, report.",True,\benergy\b
SB779,Transportation,Derived from LIS bill description,,,BILLS.CSV,"Railroad safety; minimum train crew used in movement of freight, civil penalties.",True,\brailroads?\b
SB780,Insurance,Derived from LIS bill description,,,BILLS.CSV,Health insurance; coverage for contraceptive drugs and devices.,True,\bhealth insurance\b
SB781,Public Safety,Derived from LIS bill description,,,BILLS.CSV,Retired or former law-enforcement officers; publication of personal information.,True,\blaw-enforcement officers?\b
SB782,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,"Income tax, state; deductions and earned income tax credit, removes sunset.",True,\bincome tax\b
SB783,Family and Children,Derived from LIS bill description,,,BILLS.CSV,Consumer Data Protection Act; protections for children.,True,\bchildren\b
SB784,Education,Derived from LIS bill description,,,BILLS.CSV,"Public school accountability system; Three ""E"" Readiness Framework.",True,\bpublic schools?\b
SB788,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,Workers' compensation; injuries caused by repetitive and sustained physical stressors.,True,\bworkers'? compensation\b
SB789,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,Newborn and stillborn tax credit; establishes a refundable income tax credit.,True,\bincome tax\b
SB790,Behavioral Health,Derived from LIS bill description,,,BILLS.CSV,Opioid antagonists; dispensing and administration by person acting on behalf of an organization.,True,\bopioids?\b
