Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
HB7,Courts and Civil Law,Derived from LIS bill description,,,BILLS.CSV,"Law-enforcement officers; restrictions on wearing of facial coverings, exceptions, civil liability.",True,\bcivil liability\b
HB7,Public Safety,Derived from LIS bill description,,,BILLS.CSV,"Law-enforcement officers; restrictions on wearing of facial coverings, exceptions, civil liability.",True,\blaw-enforcement officers?\b
HB10,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,Real property tax; classification of land and improvements.,True,\bproperty tax\b
HB11,Transportation,Derived from LIS bill description,,,BILLS.CSV,"Emergency custody orders; transportation to treatment center, etc.",True,\btransportation\b
HB12,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,"Income tax, state; standard deduction.",True,\bincome tax\b
HB14,Housing,Derived from LIS bill description,,,BILLS.CSV,Virginia Residential Landlord and Tenant Act; enforcement by localities.,True,\bresidential landlord\b
HB14,Local Government,Derived from LIS bill description,,,BILLS.CSV,Virginia Residential Landlord and Tenant Act; enforcement by localities.,True,\blocalit
HB15,Housing,Derived from LIS bill description,,,BILLS.CSV,"Va. Residential Landlord and Tenant Act; landlord remedies, noncompliance with rental agreement.",True,\bresidential landlord\b
HB18,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,"Employee Child Care Assistance Program; established, reports.",True,\bemployees?\b
HB18,Family and Children,Derived from LIS bill description,,,BILLS.CSV,"Employee Child Care Assistance Program; established, reports.",True,\bchild care\b
HB18,Social Services,Derived from LIS bill description,,,BILLS.CSV,"Employee Child Care Assistance Program; established, reports.",True,\bchild care assistance\b
HB19,Firearms,Derived from LIS bill description,,,BILLS.CSV,"Firearms; purchase, etc., after assault & battery of family or household member or intimate partner.",True,\bfirearms?\b
HB20,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,"Minimum wage; farm laborers or farm employees, temporary foreign workers.",True,\bemployees?\b
HB20,Agriculture and Food,Derived from LIS bill description,,,BILLS.CSV,"Minimum wage; farm laborers or farm employees, temporary foreign workers.",True,\bfarms?\b
