Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
HB1000,Transportation,Derived from LIS bill summary,,,Summaries.csv,"Rappahannock Area Transportation Authority created; funding; recordation tax; sales and use tax; report. Creates the Rappahannock Area Transportation Authority, initially comprising the counties with a population in excess of 150,000 and cities located in Planning District 16. The bill authorizes any locality in Planning District 16 to join the Authority by resolution or ordinance of such governing body. The Authority will administer transportation funding generated through the imposition of (i) an additional regional 0.5 percent sales and use tax, (ii) an additional transportation improvement grantor's fee at a rate of $0.06 per $100 of the consideration for the conveyance, and (iii) a local transportation transient occupancy tax at a rate of one percent of the amount of the charge for the occupancy of any room or space occupied in any county or city in Planning District 16. The bill also increases the annual distribution of recordation tax revenues to cities and counties from $20 million to $55 million and dedicates $15 million of such annual distribution to the Rappahannock Area Transportation Fund, created by the bill.",True,\btransportation\b
HB1000,Taxes and Revenue,Derived from LIS bill summary,,,Summaries.csv,"Rappahannock Area Transportation Authority created; funding; recordation tax; sales and use tax; report. Creates the Rappahannock Area Transportation Authority, initially comprising the counties with a population in excess of 150,000 and cities located in Planning District 16. The bill authorizes any locality in Planning District 16 to join the Authority by resolution or ordinance of such governing body. The Authority will administer transportation funding generated through the imposition of (i) an additional regional 0.5 percent sales and use tax, (ii) an additional transportation improvement grantor's fee at a rate of $0.06 per $100 of the consideration for the conveyance, and (iii) a local transportation transient occupancy tax at a rate of one percent of the amount of the charge for the occupancy of any room or space occupied in any county or city in Planning District 16. The bill also increases the annual distribution of recordation tax revenues to cities and counties from $20 million to $55 million and dedicates $15 million of such annual distribution to the Rappahannock Area Transportation Fund, created by the bill.",True,\bsales and use tax\b
HB1000,Local Government,Derived from LIS bill summary,,,Summaries.csv,"Rappahannock Area Transportation Authority created; funding; recordation tax; sales and use tax; report. Creates the Rappahannock Area Transportation Authority, initially comprising the counties with a population in excess of 150,000 and cities located in Planning District 16. The bill authorizes any locality in Planning District 16 to join the Authority by resolution or ordinance of such governing body. The Authority will administer transportation funding generated through the imposition of (i) an additional regional 0.5 percent sales and use tax, (ii) an additional transportation improvement grantor's fee at a rate of $0.06 per $100 of the consideration for the conveyance, and (iii) a local transportation transient occupancy tax at a rate of one percent of the amount of the charge for the occupancy of any room or space occupied in any county or city in Planning District 16. The bill also increases the annual distribution of recordation tax revenues to cities and counties from $20 million to $55 million and dedicates $15 million of such annual distribution to the Rappahannock Area Transportation Fund, created by the bill.",True,\blocalit
HB1001,Education,Derived from LIS bill summary,,,Summaries.csv,"Commonwealth Savers Plan; State Council of Higher Education for Virginia; Virginia College Access and Affordability Scholarship Fund established; work group; report. Directs the transfer of actuarial surplus defined benefit prepaid tuition contract funds from the Commonwealth Savers Plan (the Plan) Fund into a DB529 Fund established by the bill to be deposited into the Virginia College Access and Affordability Scholarship Fund (the Access Fund) established by the bill. Under the bill, the DB529 Fund and the Access Fund operate as subfunds of the Commonwealth Savers Plan Fund. The bill further provides that the Plan shall initially deposit $500 million from the DB529 Fund into the Access Fund to be invested and managed by the Plan. The Joint Legislative Audit and Review Commission shall no less than biennially complete an independent evaluation and risk assessment of the Plan's risk assessment model, assumptions, and other measures employed by the Plan related to the DB529 Fund and the Access Fund. Funds in the Access Fund shall be used to establish a scholarship program that is managed and administered by the State Council of Higher Education for Virginia (the Council). The scholarship program provides scholarship awards to students enrolled in an eligible education program, defined in the bill, and a portion of the funds are to be devoted to college access resources or programs to assist low-income students, first generation college students, students from underrepresented communities, or other at-risk students with their introduction to the higher education system in Virginia, college applications, financial aid applications, and resources assisting with a successful transition from high school to college. The Council is required to report on the Access Fund and scholarship program no later than December 31 of each year. Finally, the bill (i) directs the Council to establish a work group of higher education stakeholders to make recommendations on allocations of funds available through the Access Fund and scholarship program and directs the work group to report to the House Committees on Education and Appropriations and Senate Committees on Education and Health and Finance and Appropriations no later than November 1, 2026, and (ii) prohibits the Plan from implementing or taking part in any initiatives relating to the aforementioned college access programs on or after July 1, 2026, except for existing access programs related to a prepaid tuition contract entered into on or before June 30, 2026, and existing program offerings made available for SOAR Virginia and GEAR UP Virginia.",True,\bhigh school\b
HB1001,Budget and Appropriations,Derived from LIS bill summary,,,Summaries.csv,"Commonwealth Savers Plan; State Council of Higher Education for Virginia; Virginia College Access and Affordability Scholarship Fund established; work group; report. Directs the transfer of actuarial surplus defined benefit prepaid tuition contract funds from the Commonwealth Savers Plan (the Plan) Fund into a DB529 Fund established by the bill to be deposited into the Virginia College Access and Affordability Scholarship Fund (the Access Fund) established by the bill. Under the bill, the DB529 Fund and the Access Fund operate as subfunds of the Commonwealth Savers Plan Fund. The bill further provides that the Plan shall initially deposit $500 million from the DB529 Fund into the Access Fund to be invested and managed by the Plan. The Joint Legislative Audit and Review Commission shall no less than biennially complete an independent evaluation and risk assessment of the Plan's risk assessment model, assumptions, and other measures employed by the Plan related to the DB529 Fund and the Access Fund. Funds in the Access Fund shall be used to establish a scholarship program that is managed and administered by the State Council of Higher Education for Virginia (the Council). The scholarship program provides scholarship awards to students enrolled in an eligible education program, defined in the bill, and a portion of the funds are to be devoted to college access resources or programs to assist low-income students, first generation college students, students from underrepresented communities, or other at-risk students with their introduction to the higher education system in Virginia, college applications, financial aid applications, and resources assisting with a successful transition from high school to college. The Council is required to report on the Access Fund and scholarship program no later than December 31 of each year. Finally, the bill (i) directs the Council to establish a work group of higher education stakeholders to make recommendations on allocations of funds available through the Access Fund and scholarship program and directs the work group to report to the House Committees on Education and Appropriations and Senate Committees on Education and Health and Finance and Appropriations no later than November 1, 2026, and (ii) prohibits the Plan from implementing or taking part in any initiatives relating to the aforementioned college access programs on or after July 1, 2026, except for existing access programs related to a prepaid tuition contract entered into on or before June 30, 2026, and existing program offerings made available for SOAR Virginia and GEAR UP Virginia.",True,\bappropriations?\b
HB1001,Higher Education,Derived from LIS bill summary,,,Summaries.csv,"Commonwealth Savers Plan; State Council of Higher Education for Virginia; Virginia College Access and Affordability Scholarship Fund established; work group; report. Directs the transfer of actuarial surplus defined benefit prepaid tuition contract funds from the Commonwealth Savers Plan (the Plan) Fund into a DB529 Fund established by the bill to be deposited into the Virginia College Access and Affordability Scholarship Fund (the Access Fund) established by the bill. Under the bill, the DB529 Fund and the Access Fund operate as subfunds of the Commonwealth Savers Plan Fund. The bill further provides that the Plan shall initially deposit $500 million from the DB529 Fund into the Access Fund to be invested and managed by the Plan. The Joint Legislative Audit and Review Commission shall no less than biennially complete an independent evaluation and risk assessment of the Plan's risk assessment model, assumptions, and other measures employed by the Plan related to the DB529 Fund and the Access Fund. Funds in the Access Fund shall be used to establish a scholarship program that is managed and administered by the State Council of Higher Education for Virginia (the Council). The scholarship program provides scholarship awards to students enrolled in an eligible education program, defined in the bill, and a portion of the funds are to be devoted to college access resources or programs to assist low-income students, first generation college students, students from underrepresented communities, or other at-risk students with their introduction to the higher education system in Virginia, college applications, financial aid applications, and resources assisting with a successful transition from high school to college. The Council is required to report on the Access Fund and scholarship program no later than December 31 of each year. Finally, the bill (i) directs the Council to establish a work group of higher education stakeholders to make recommendations on allocations of funds available through the Access Fund and scholarship program and directs the work group to report to the House Committees on Education and Appropriations and Senate Committees on Education and Health and Finance and Appropriations no later than November 1, 2026, and (ii) prohibits the Plan from implementing or taking part in any initiatives relating to the aforementioned college access programs on or after July 1, 2026, except for existing access programs related to a prepaid tuition contract entered into on or before June 30, 2026, and existing program offerings made available for SOAR Virginia and GEAR UP Virginia.",True,\bhigher education\b
HB1002,Energy and Utilities,Derived from LIS bill summary,,,Summaries.csv,"Electric, natural gas, and water or wastewater utilities; disconnection procedures for nonpayment. Requires certain utilities, for the purposes of required notices related to disconnections for nonpayment, to provide such notices in an additional language for customers residing in a locality that is required to provide voting or election materials in such additional language. The bill prohibits certain utilities from disconnecting a residential customer without making reasonable efforts to offer bill payment assistance, arrange a payment plan, or provide information to the customer for other bill payment assistance or energy savings programs. The bill directs the Department of Elections to post on its website a list of the localities designated as a covered locality for the purposes of providing voting or election materials in an additional minority language by September 1, 2026, and to update such list as necessary.",True,\benergy\b
HB1002,Elections and Voting,Derived from LIS bill summary,,,Summaries.csv,"Electric, natural gas, and water or wastewater utilities; disconnection procedures for nonpayment. Requires certain utilities, for the purposes of required notices related to disconnections for nonpayment, to provide such notices in an additional language for customers residing in a locality that is required to provide voting or election materials in such additional language. The bill prohibits certain utilities from disconnecting a residential customer without making reasonable efforts to offer bill payment assistance, arrange a payment plan, or provide information to the customer for other bill payment assistance or energy savings programs. The bill directs the Department of Elections to post on its website a list of the localities designated as a covered locality for the purposes of providing voting or election materials in an additional minority language by September 1, 2026, and to update such list as necessary.",True,\belections?\b
HB1002,Local Government,Derived from LIS bill summary,,,Summaries.csv,"Electric, natural gas, and water or wastewater utilities; disconnection procedures for nonpayment. Requires certain utilities, for the purposes of required notices related to disconnections for nonpayment, to provide such notices in an additional language for customers residing in a locality that is required to provide voting or election materials in such additional language. The bill prohibits certain utilities from disconnecting a residential customer without making reasonable efforts to offer bill payment assistance, arrange a payment plan, or provide information to the customer for other bill payment assistance or energy savings programs. The bill directs the Department of Elections to post on its website a list of the localities designated as a covered locality for the purposes of providing voting or election materials in an additional minority language by September 1, 2026, and to update such list as necessary.",True,\blocalit
HB1003,Transportation,Derived from LIS bill summary,,,Summaries.csv,"Transportation network companies; minimum compensation; civil penalty. Establishes minimum compensation rates for TNC partners. The bill also prohibits gratuities from passengers from being included in TNC partner compensation calculations, authorizes TNC partners to collect gratuity in cash or electronically, and prohibits transportation network companies from limiting the amount that can be paid as gratuity through such companies' digital platforms. The bill requires the Department of Motor Vehicles (DMV) to establish a process for reporting violations and to investigate claims. The bill authorizes enforcement by civil action or by civil penalties assessed by the DMV Commissioner.",True,\btransportation\b
