year,vote_id,member_id,MBR_NAME,party,vote,own_party_position,other_party_position,broke_with_party,cross_party,topic_name,classification,eligible_cross_party
2025,2510002,H0172,Mark D. Sickles,D,Y,Y,N,False,False,Constitutional Amendments,Official LIS subject,True
2025,2510002,H0172,Mark D. Sickles,D,Y,Y,N,False,False,Elections,Official LIS subject,True
2025,2510002,H0172,Mark D. Sickles,D,Y,Y,N,False,False,Voters and Voting,Official LIS subject,True
2025,2510002,H0181,C. Todd Gilbert,R,N,N,Y,False,False,Constitutional Amendments,Official LIS subject,True
2025,2510002,H0181,C. Todd Gilbert,R,N,N,Y,False,False,Elections,Official LIS subject,True
2025,2510002,H0181,C. Todd Gilbert,R,N,N,Y,False,False,Voters and Voting,Official LIS subject,True
2025,2510002,H0242,Israel D. O'Quinn,R,N,N,Y,False,False,Constitutional Amendments,Official LIS subject,True
2025,2510002,H0242,Israel D. O'Quinn,R,N,N,Y,False,False,Elections,Official LIS subject,True
2025,2510002,H0242,Israel D. O'Quinn,R,N,N,Y,False,False,Voters and Voting,Official LIS subject,True
2025,2510002,H0262,"James A. ""Jay"" Leftwich",R,N,N,Y,False,False,Constitutional Amendments,Official LIS subject,True
2025,2510002,H0262,"James A. ""Jay"" Leftwich",R,N,N,Y,False,False,Elections,Official LIS subject,True
2025,2510002,H0262,"James A. ""Jay"" Leftwich",R,N,N,Y,False,False,Voters and Voting,Official LIS subject,True
2025,2510002,H0267,"Robert S. Bloxom, Jr.",R,N,N,Y,False,False,Constitutional Amendments,Official LIS subject,True
2025,2510002,H0267,"Robert S. Bloxom, Jr.",R,N,N,Y,False,False,Elections,Official LIS subject,True
2025,2510002,H0267,"Robert S. Bloxom, Jr.",R,N,N,Y,False,False,Voters and Voting,Official LIS subject,True
2025,2510002,H0281,Paul E. Krizek,D,Y,Y,N,False,False,Constitutional Amendments,Official LIS subject,True
2025,2510002,H0281,Paul E. Krizek,D,Y,Y,N,False,False,Elections,Official LIS subject,True
2025,2510002,H0281,Paul E. Krizek,D,Y,Y,N,False,False,Voters and Voting,Official LIS subject,True
2025,2510002,H0284,"Marcia S. ""Cia"" Price",D,Y,Y,N,False,False,Constitutional Amendments,Official LIS subject,True
2025,2510002,H0284,"Marcia S. ""Cia"" Price",D,Y,Y,N,False,False,Elections,Official LIS subject,True
2025,2510002,H0284,"Marcia S. ""Cia"" Price",D,Y,Y,N,False,False,Voters and Voting,Official LIS subject,True
2025,2510002,H0295,Kelly K. Convirs-Fowler,D,Y,Y,N,False,False,Constitutional Amendments,Official LIS subject,True
2025,2510002,H0295,Kelly K. Convirs-Fowler,D,Y,Y,N,False,False,Elections,Official LIS subject,True
2025,2510002,H0295,Kelly K. Convirs-Fowler,D,Y,Y,N,False,False,Voters and Voting,Official LIS subject,True
2025,2510002,H0301,David A. Reid,D,Y,Y,N,False,False,Constitutional Amendments,Official LIS subject,True
2025,2510002,H0301,David A. Reid,D,Y,Y,N,False,False,Elections,Official LIS subject,True
2025,2510002,H0301,David A. Reid,D,Y,Y,N,False,False,Voters and Voting,Official LIS subject,True
2025,2510002,H0314,Joshua G. Cole,D,Y,Y,N,False,False,Constitutional Amendments,Official LIS subject,True
2025,2510002,H0314,Joshua G. Cole,D,Y,Y,N,False,False,Elections,Official LIS subject,True
2025,2510002,H0314,Joshua G. Cole,D,Y,Y,N,False,False,Voters and Voting,Official LIS subject,True
2025,2510002,H0335,Mike A. Cherry,R,N,N,Y,False,False,Constitutional Amendments,Official LIS subject,True
2025,2510002,H0335,Mike A. Cherry,R,N,N,Y,False,False,Elections,Official LIS subject,True
2025,2510002,H0335,Mike A. Cherry,R,N,N,Y,False,False,Voters and Voting,Official LIS subject,True
2025,2510002,H0340,Michelle Lopes Maldonado,D,Y,Y,N,False,False,Constitutional Amendments,Official LIS subject,True
2025,2510002,H0340,Michelle Lopes Maldonado,D,Y,Y,N,False,False,Elections,Official LIS subject,True
