Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
HB9,"Agriculture, Animal Care and Food",Official LIS subject,"Agriculture, Animal Care and Food",,CIBillSubjects.csv,"Agriculture, Animal Care and Food",False,
HB19,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
HB19,Fisheries and Habitat of the Tidal Waters,Official LIS subject,Menhaden Fish,Fisheries and Habitat of the Tidal Waters,CIBillSubjects.csv,Menhaden Fish,False,
HB19,Uncodified Legislation,Official LIS subject,Uncodified Legislation,,CIBillSubjects.csv,Uncodified Legislation,False,
HB19,Fisheries and Habitat of the Tidal Waters,Official LIS subject,Fisheries and Habitat of the Tidal Waters,,CIBillSubjects.csv,Fisheries and Habitat of the Tidal Waters,False,
HB20,"Counties, Cities, and Towns",Official LIS subject,"Counties, Cities, and Towns",,CIBillSubjects.csv,"Counties, Cities, and Towns",False,
HB20,Motor Vehicles,Official LIS subject,Motor Vehicles,,CIBillSubjects.csv,Motor Vehicles,False,
HB20,Local Government and Officials,Official LIS subject,Local Government and Officials,,CIBillSubjects.csv,Local Government and Officials,False,
HB20,Ordinances,Official LIS subject,Ordinances,,CIBillSubjects.csv,Ordinances,False,
HB20,Motor Vehicles,Official LIS subject,Photo-Monitoring,Motor Vehicles,CIBillSubjects.csv,Photo-Monitoring,False,
HB20,Motor Vehicles,Official LIS subject,Speed Limits,Motor Vehicles,CIBillSubjects.csv,Speed Limits,False,
HB33,Health,Official LIS subject,Health,,CIBillSubjects.csv,Health,False,
HB33,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
HB33,Water and Sewer Systems,Official LIS subject,Water and Sewer Systems,,CIBillSubjects.csv,Water and Sewer Systems,False,
HB33,Uncodified Legislation,Official LIS subject,Uncodified Legislation,,CIBillSubjects.csv,Uncodified Legislation,False,
HB38,Emergency Services and Vehicles,Official LIS subject,Emergency Services and Vehicles,,CIBillSubjects.csv,Emergency Services and Vehicles,False,
