year,party,topic_name,voting_tendency,delegates
2026,D,Administration of Government,INSUFFICIENT DATA,68
2026,R,Administration of Government,INSUFFICIENT DATA,36
2026,D,Agriculture and Food,INSUFFICIENT DATA,1
2026,D,Agriculture and Food,YES,64
2026,R,Agriculture and Food,INSUFFICIENT DATA,1
2026,R,Agriculture and Food,MIXED,16
2026,R,Agriculture and Food,YES,19
2026,D,Alcoholic Beverage and Cannabis Control,INSUFFICIENT DATA,3
2026,D,Alcoholic Beverage and Cannabis Control,MIXED,2
2026,D,Alcoholic Beverage and Cannabis Control,YES,60
2026,R,Alcoholic Beverage and Cannabis Control,INSUFFICIENT DATA,2
2026,R,Alcoholic Beverage and Cannabis Control,MIXED,2
2026,R,Alcoholic Beverage and Cannabis Control,YES,32
2026,D,Armed Forces,INSUFFICIENT DATA,1
2026,D,Armed Forces,YES,64
2026,R,Armed Forces,INSUFFICIENT DATA,2
2026,R,Armed Forces,MIXED,35
2026,D,Arts and Humanities,INSUFFICIENT DATA,64
2026,R,Arts and Humanities,INSUFFICIENT DATA,35
2026,D,Behavioral Health,YES,65
2026,R,Behavioral Health,INSUFFICIENT DATA,2
2026,R,Behavioral Health,MIXED,7
2026,R,Behavioral Health,YES,28
2026,D,Budget and Appropriations,YES,65
2026,R,Budget and Appropriations,INSUFFICIENT DATA,1
2026,R,Budget and Appropriations,MIXED,25
2026,R,Budget and Appropriations,NO,10
2026,D,Business and Commerce,YES,65
2026,R,Business and Commerce,INSUFFICIENT DATA,2
2026,R,Business and Commerce,MIXED,31
2026,R,Business and Commerce,YES,4
2026,D,Child Care,INSUFFICIENT DATA,64
2026,R,Child Care,INSUFFICIENT DATA,35
2026,D,Children,INSUFFICIENT DATA,64
2026,R,Children,INSUFFICIENT DATA,35
2026,D,Civil Remedies and Procedure,INSUFFICIENT DATA,64
2026,R,Civil Remedies and Procedure,INSUFFICIENT DATA,36
2026,D,"Commissions, Boards, and Institutions Generally",INSUFFICIENT DATA,64
2026,R,"Commissions, Boards, and Institutions Generally",INSUFFICIENT DATA,35
2026,D,Constitutional Amendments,INSUFFICIENT DATA,3
2026,D,Constitutional Amendments,YES,64
2026,R,Constitutional Amendments,INSUFFICIENT DATA,1
2026,R,Constitutional Amendments,NO,35
2026,D,Contraceptives,INSUFFICIENT DATA,65
2026,R,Contraceptives,INSUFFICIENT DATA,36
2026,D,"Counties, Cities, and Towns",INSUFFICIENT DATA,64
2026,R,"Counties, Cities, and Towns",INSUFFICIENT DATA,35
2026,D,Courts Not of Record,INSUFFICIENT DATA,64
2026,R,Courts Not of Record,INSUFFICIENT DATA,35
2026,D,Courts and Civil Law,YES,65
2026,R,Courts and Civil Law,INSUFFICIENT DATA,2
2026,R,Courts and Civil Law,MIXED,22
2026,R,Courts and Civil Law,YES,13
2026,D,Criminal Justice,YES,65
2026,R,Criminal Justice,INSUFFICIENT DATA,2
2026,R,Criminal Justice,MIXED,28
2026,R,Criminal Justice,NO,7
2026,D,Criminal Procedure,INSUFFICIENT DATA,64
2026,R,Criminal Procedure,INSUFFICIENT DATA,36
2026,D,Data Centers,INSUFFICIENT DATA,2
2026,D,Data Centers,YES,63
2026,R,Data Centers,INSUFFICIENT DATA,1
2026,R,Data Centers,MIXED,22
2026,R,Data Centers,NO,10
2026,R,Data Centers,YES,3
2026,D,Domestic Relations,INSUFFICIENT DATA,67
2026,R,Domestic Relations,INSUFFICIENT DATA,36
2026,D,Economic Development,INSUFFICIENT DATA,2
2026,D,Economic Development,YES,63
2026,R,Economic Development,INSUFFICIENT DATA,1
2026,R,Economic Development,MIXED,3
2026,R,Economic Development,NO,4
2026,R,Economic Development,YES,28
2026,D,Education,YES,65
2026,R,Education,INSUFFICIENT DATA,2
2026,R,Education,MIXED,34
2026,R,Education,YES,1
2026,D,Educational Institutions,INSUFFICIENT DATA,64
2026,R,Educational Institutions,INSUFFICIENT DATA,35
2026,D,Elections,INSUFFICIENT DATA,67
2026,R,Elections,INSUFFICIENT DATA,36
2026,D,Elections and Voting,YES,65
2026,R,Elections and Voting,INSUFFICIENT DATA,1
2026,R,Elections and Voting,MIXED,2
2026,R,Elections and Voting,NO,34
2026,D,Electronic Processes,INSUFFICIENT DATA,64
2026,R,Electronic Processes,INSUFFICIENT DATA,36
2026,D,Energy and Utilities,YES,65
2026,R,Energy and Utilities,INSUFFICIENT DATA,1
2026,R,Energy and Utilities,MIXED,28
2026,R,Energy and Utilities,NO,8
2026,D,Environment and Conservation,YES,65
2026,R,Environment and Conservation,INSUFFICIENT DATA,2
2026,R,Environment and Conservation,MIXED,15
2026,R,Environment and Conservation,NO,20
2026,D,Family and Children,YES,65
2026,R,Family and Children,INSUFFICIENT DATA,2
2026,R,Family and Children,MIXED,12
2026,R,Family and Children,YES,23
2026,D,Financial Institutions and Services,INSUFFICIENT DATA,43
2026,D,Financial Institutions and Services,YES,22
2026,R,Financial Institutions and Services,INSUFFICIENT DATA,24
2026,R,Financial Institutions and Services,MIXED,2
