topic_name,delegates_compared,avg_cross_party_pct_2025,avg_cross_party_pct_2026,avg_cross_party_pct_change,median_cross_party_pct_change,total_cross_party_events_2025,total_cross_party_events_2026
Taxes and Revenue,78,1.244884037923288,6.977477426146974,5.732593388223686,3.708791208791209,93.0,324.0
Technology and Data,75,2.200228296793994,3.700437966385799,1.5002096695918048,0.0,47.0,74.0
Courts and Civil Law,78,0.6158284110889826,1.793981869978784,1.1781534588898015,0.0,64.0,106.0
State Government,76,0.0919383721459333,1.1550444872248737,1.0631061150789405,0.0,4.0,28.0
Housing,78,2.3612431843548127,3.251413179891794,0.890169995536981,0.0,122.0,285.0
Family and Children,78,0.7954820659913971,1.533798388943199,0.7383163229518019,0.0,54.0,73.0
Local Government,78,1.8015739643178443,2.466557320495139,0.6649833561772949,0.0,253.0,247.0
Labor and Employment,78,0.5746935018483638,1.1214383143707785,0.5467448125224147,0.0,88.0,172.0
Criminal Justice,78,1.5852911324357588,1.968396326218188,0.3831051937824294,0.15322992106837746,286.0,267.0
Environment and Conservation,78,2.2397429590885745,2.603838904151316,0.36409594506274173,0.0,118.0,132.0
Elections and Voting,78,1.6390741042485002,1.813651532518175,0.17457742826967496,0.0,116.0,167.0
Firearms,78,0.14396185089329536,0.30830657874379735,0.16434472785050203,0.0,7.0,21.0
Agriculture and Food,77,2.3791656344103314,2.5052777018653334,0.12611206745500173,0.0,90.0,61.0
Economic Development,22,0.8538899430740038,0.9178321678321679,0.0639422247581641,0.0,6.0,6.0
"Study Commissions, Committees, and Reports",78,1.5980993745775312,1.6398180719241908,0.041718697346659527,0.0,97.0,91.0
Health and Healthcare,78,0.6502719158340358,0.6916015728901207,0.041329657056084865,0.0,83.0,60.0
Budget and Appropriations,78,1.0431317906430229,1.050719465958912,0.007587675315889288,0.0,107.0,60.0
"Gambling, Lotteries, Etc.",4,0.0,0.0,0.0,0.0,0.0,0.0
Armed Forces,4,0.0,0.0,0.0,0.0,0.0,0.0
Transportation,78,1.4592920655482955,1.4439382446329934,-0.015353820915302277,0.0,145.0,143.0
Business and Commerce,78,1.641859761026696,1.5074998584205748,-0.13435990260612138,0.0,96.0,89.0
Behavioral Health,78,1.4779859119259773,1.258232467200225,-0.2197534447257523,0.0,80.0,57.0
Education,78,1.5461246965516908,1.3154401439251124,-0.23068455262657842,-0.3781485631580176,321.0,259.0
Public Safety,78,1.8039053418593853,1.3915528909228054,-0.4123524509365799,0.0,115.0,67.0
Marriage and Domestic Relations,17,1.5776587893792327,1.1643782181307536,-0.41328057124847895,0.0,12.0,5.0
Higher Education,78,1.7283106828736372,1.2679938603752428,-0.4603168224983945,0.0,90.0,42.0
Insurance,78,2.494794671286103,1.3637780044143237,-1.131016666871779,0.0,99.0,72.0
Social Services,28,1.8733687978362592,0.5538088427807163,-1.3195599550555428,0.0,24.0,5.0
Energy and Utilities,78,3.626441969576406,2.013483302313739,-1.6129586672626677,0.0,349.0,286.0
Alcoholic Beverage and Cannabis Control,6,2.272727272727273,0.0,-2.272727272727273,0.0,3.0,0.0
