topic_name,delegates_compared,avg_cross_party_pct_2025,avg_cross_party_pct_2026,avg_cross_party_pct_change,median_cross_party_pct_change,total_cross_party_events_2025,total_cross_party_events_2026,total_eligible_topic_events_2025,total_eligible_topic_events_2026,headline_topic
Taxes and Revenue,62,1.4108984345615492,7.604435324126369,6.19353688956482,4.674693490482964,86.0,290.0,6195.0,4197.0,True
Courts and Civil Law,76,0.6320344219071137,1.801319510895291,1.1692850889881776,0.0,64.0,105.0,9335.0,5941.0,True
Housing,58,2.501727942401908,3.4334446566289025,0.9317167142269949,0.0,103.0,236.0,3773.0,6314.0,True
Family and Children,70,0.8685371592475568,1.584301635312269,0.7157644760647124,0.0,53.0,69.0,6395.0,4690.0,True
Local Government,78,1.8015739643178443,2.466557320495139,0.6649833561772949,0.0,253.0,247.0,13724.0,9498.0,True
Labor and Employment,78,0.5746935018483638,1.1214383143707785,0.5467448125224147,0.0,88.0,172.0,15082.0,15425.0,True
Environment and Conservation,74,2.124214796689031,2.6060015591198176,0.48178676243078644,0.0,109.0,127.0,4937.0,4728.0,True
Criminal Justice,78,1.5852911324357588,1.968396326218188,0.3831051937824294,0.15322992106837746,286.0,267.0,17649.0,13178.0,True
Elections and Voting,77,1.6603607809270522,1.8372054485249045,0.17684466759785256,0.0,116.0,167.0,6591.0,8460.0,True
Firearms,77,0.145831485320481,0.31231056028592463,0.1664790749654436,0.0,7.0,21.0,5042.0,6378.0,True
"Study Commissions, Committees, and Reports",77,1.618853911909707,1.6611144105206088,0.042260498610901864,0.0,97.0,91.0,5881.0,5513.0,True
Health and Healthcare,77,0.6587170056500622,0.7005834114990832,0.04186640584902103,0.0,83.0,60.0,12701.0,9402.0,True
Transportation,78,1.4592920655482955,1.4439382446329934,-0.015353820915302277,0.0,145.0,143.0,10087.0,10130.0,True
Budget and Appropriations,75,1.0091325443624077,0.9927482445972686,-0.016384299765139047,0.0,100.0,57.0,9743.0,5873.0,True
Business and Commerce,77,1.6631826150660038,1.4771277287097533,-0.18605488635625084,0.0,96.0,88.0,5754.0,5803.0,True
Education,78,1.5461246965516908,1.3154401439251124,-0.23068455262657842,-0.3781485631580176,321.0,259.0,21521.0,19455.0,True
Higher Education,16,2.0401425409189384,1.7251498125702989,-0.3149927283486395,0.0,29.0,15.0,1508.0,916.0,True
Behavioral Health,65,1.6208294152417042,1.3036914844831275,-0.3171379307585767,0.0,74.0,51.0,4885.0,4157.0,True
Public Safety,75,1.8418735213457267,1.4472150065597178,-0.39465851478600894,0.0,113.0,67.0,6084.0,4787.0,True
Insurance,21,2.7368977841228754,1.407888669038763,-1.3290091150841123,0.0,42.0,23.0,1501.0,2044.0,True
Energy and Utilities,77,3.673538618531944,2.039632436110021,-1.6339061824219232,0.0,349.0,286.0,8824.0,13921.0,True
Agriculture and Food,5,0.33333333333333337,1.1253561253561255,0.7920227920227921,1.851851851851852,1.0,3.0,329.0,263.0,False
Social Services,1,0.0,0.0,0.0,0.0,0.0,0.0,58.0,54.0,False
