year,topic_name,classification,mixed_delegates,no_delegates,yes_delegates,classified_delegates,yes_delegate_pct,no_delegate_pct,mixed_delegate_pct
2025,Agriculture and Food,Derived from LIS bill description,1.0,0.0,70.0,71.0,98.59154929577466,0.0,1.4084507042253522
2025,Behavioral Health,Derived from LIS bill description,21.0,0.0,78.0,99.0,78.78787878787878,0.0,21.21212121212121
2025,Budget and Appropriations,Derived from LIS bill description,1.0,46.0,50.0,97.0,51.546391752577314,47.42268041237113,1.0309278350515463
2025,Business and Commerce,Derived from LIS bill description,14.0,0.0,85.0,99.0,85.85858585858585,0.0,14.14141414141414
2025,Courts and Civil Law,Derived from LIS bill description,40.0,4.0,54.0,98.0,55.10204081632652,4.081632653061225,40.816326530612244
2025,Criminal Justice,Derived from LIS bill description,28.0,0.0,71.0,99.0,71.71717171717171,0.0,28.28282828282828
2025,Education,Derived from LIS bill description,45.0,0.0,55.0,100.0,55.00000000000001,0.0,45.0
2025,Elections and Voting,Derived from LIS bill description,31.0,16.0,52.0,99.0,52.52525252525253,16.161616161616163,31.313131313131315
2025,Energy and Utilities,Derived from LIS bill description,32.0,17.0,51.0,100.0,51.0,17.0,32.0
2025,Environment and Conservation,Derived from LIS bill description,25.0,3.0,71.0,99.0,71.71717171717171,3.0303030303030303,25.252525252525253
2025,Family and Children,Derived from LIS bill description,1.0,0.0,98.0,99.0,98.98989898989899,0.0,1.0101010101010102
2025,Firearms,Derived from LIS bill description,2.0,46.0,51.0,99.0,51.515151515151516,46.464646464646464,2.0202020202020203
2025,Health and Healthcare,Derived from LIS bill description,9.0,0.0,91.0,100.0,91.0,0.0,9.0
2025,Higher Education,Derived from LIS bill description,0.0,0.0,22.0,22.0,100.0,0.0,0.0
2025,Housing,Derived from LIS bill description,21.0,27.0,51.0,99.0,51.515151515151516,27.27272727272727,21.21212121212121
2025,Insurance,Derived from LIS bill description,14.0,0.0,85.0,99.0,85.85858585858585,0.0,14.14141414141414
2025,Labor and Employment,Derived from LIS bill description,30.0,19.0,51.0,100.0,51.0,19.0,30.0
2025,Local Government,Derived from LIS bill description,38.0,8.0,52.0,98.0,53.06122448979592,8.16326530612245,38.775510204081634
2025,Marriage and Domestic Relations,Derived from LIS bill description,14.0,0.0,35.0,49.0,71.42857142857143,0.0,28.57142857142857
2025,Public Safety,Derived from LIS bill description,4.0,0.0,94.0,98.0,95.91836734693877,0.0,4.081632653061225
2025,Social Services,Derived from LIS bill description,14.0,0.0,84.0,98.0,85.71428571428571,0.0,14.285714285714285
2025,State Government,Derived from LIS bill description,0.0,0.0,6.0,6.0,100.0,0.0,0.0
2025,Taxes and Revenue,Derived from LIS bill description,5.0,0.0,94.0,99.0,94.94949494949495,0.0,5.05050505050505
2025,Technology and Data,Derived from LIS bill description,16.0,4.0,37.0,57.0,64.91228070175438,7.017543859649122,28.07017543859649
2025,Transportation,Derived from LIS bill description,12.0,0.0,87.0,99.0,87.87878787878788,0.0,12.121212121212121
