year,topic_name,voting_tendency,delegates
2025,Administration of Government,INSUFFICIENT DATA,101
2025,Agriculture and Food,MIXED,31
2025,Agriculture and Food,YES,69
2025,Alcoholic Beverage and Cannabis Control,INSUFFICIENT DATA,4
2025,Alcoholic Beverage and Cannabis Control,MIXED,8
2025,Alcoholic Beverage and Cannabis Control,YES,88
2025,Armed Forces,INSUFFICIENT DATA,2
2025,Armed Forces,MIXED,4
2025,Armed Forces,YES,94
2025,Behavioral Health,MIXED,36
2025,Behavioral Health,YES,64
2025,Budget and Appropriations,MIXED,45
2025,Budget and Appropriations,NO,2
2025,Budget and Appropriations,YES,53
2025,Business and Commerce,MIXED,45
2025,Business and Commerce,YES,55
2025,Commendations and Commemorations,INSUFFICIENT DATA,18
2025,Constitutional Amendments,INSUFFICIENT DATA,78
2025,Constitutional Amendments,MIXED,1
2025,Constitutional Amendments,NO,9
2025,Constitutional Amendments,YES,13
2025,Courts and Civil Law,MIXED,38
2025,Courts and Civil Law,NO,1
2025,Courts and Civil Law,YES,61
2025,Criminal Justice,MIXED,40
2025,Criminal Justice,YES,60
2025,Data Centers,INSUFFICIENT DATA,54
2025,Data Centers,MIXED,2
2025,Data Centers,NO,17
2025,Data Centers,YES,27
2025,Domestic Relations,INSUFFICIENT DATA,101
2025,Economic Development,MIXED,6
2025,Economic Development,NO,2
2025,Economic Development,YES,92
2025,Education,MIXED,37
2025,Education,YES,63
2025,Elections,INSUFFICIENT DATA,101
2025,Elections and Voting,INSUFFICIENT DATA,1
2025,Elections and Voting,MIXED,30
2025,Elections and Voting,NO,18
2025,Elections and Voting,YES,51
2025,Energy and Utilities,MIXED,33
2025,Energy and Utilities,NO,16
2025,Energy and Utilities,YES,51
2025,Environment and Conservation,MIXED,25
2025,Environment and Conservation,YES,75
2025,Family and Children,MIXED,11
2025,Family and Children,YES,89
2025,Financial Institutions and Services,INSUFFICIENT DATA,100
2025,Firearms,INSUFFICIENT DATA,1
2025,Firearms,MIXED,2
2025,Firearms,NO,46
2025,Firearms,YES,51
2025,"Gambling, Lotteries, Etc.",INSUFFICIENT DATA,79
2025,"Gambling, Lotteries, Etc.",YES,21
2025,Health and Healthcare,MIXED,28
2025,Health and Healthcare,YES,72
2025,Higher Education,MIXED,28
2025,Higher Education,YES,72
2025,Housing,INSUFFICIENT DATA,1
2025,Housing,MIXED,32
2025,Housing,NO,16
2025,Housing,YES,51
2025,Indian Tribes,INSUFFICIENT DATA,69
2025,Indian Tribes,YES,31
2025,Insurance,INSUFFICIENT DATA,1
2025,Insurance,MIXED,21
2025,Insurance,NO,2
2025,Insurance,YES,76
2025,Labor and Employment,MIXED,48
2025,Labor and Employment,NO,1
2025,Labor and Employment,YES,51
2025,Local Government,MIXED,42
2025,Local Government,NO,3
2025,Local Government,YES,55
2025,Marriage and Domestic Relations,INSUFFICIENT DATA,2
2025,Marriage and Domestic Relations,MIXED,45
2025,Marriage and Domestic Relations,YES,53
2025,"Pensions, Benefits, and Retirement",INSUFFICIENT DATA,75
2025,"Pensions, Benefits, and Retirement",MIXED,5
2025,"Pensions, Benefits, and Retirement",YES,20
2025,Professions and Occupations,INSUFFICIENT DATA,62
2025,Professions and Occupations,MIXED,9
2025,Professions and Occupations,YES,29
2025,Property and Conveyances,INSUFFICIENT DATA,74
2025,Property and Conveyances,YES,26
2025,Public Safety,MIXED,33
2025,Public Safety,YES,67
2025,Social Services,INSUFFICIENT DATA,1
2025,Social Services,MIXED,10
2025,Social Services,YES,89
2025,State Government,MIXED,35
2025,State Government,YES,65
2025,"Study Commissions, Committees, and Reports",MIXED,40
2025,"Study Commissions, Committees, and Reports",YES,60
2025,Taxes and Revenue,MIXED,8
2025,Taxes and Revenue,YES,92
2025,Technology and Data,INSUFFICIENT DATA,2
2025,Technology and Data,MIXED,39
2025,Technology and Data,NO,3
2025,Technology and Data,YES,56
2025,Transportation,MIXED,26
2025,Transportation,YES,74
2025,Unclassified,MIXED,7
2025,Unclassified,YES,93
2025,"Wills, Trusts, and Fiduciaries",INSUFFICIENT DATA,92
2025,"Wills, Trusts, and Fiduciaries",YES,8
