year,topic_name,classification,mixed_delegates,no_delegates,yes_delegates,classified_delegates,yes_delegate_pct,no_delegate_pct,mixed_delegate_pct
2026,Agriculture and Food,Derived from LIS bill description,1.0,0.0,97.0,98.0,98.9795918367347,0.0,1.0204081632653061
2026,Agriculture and Food,Derived from LIS bill summary,7.0,2.0,32.0,41.0,78.04878048780488,4.878048780487805,17.073170731707318
2026,Behavioral Health,Derived from LIS bill description,5.0,0.0,95.0,100.0,95.0,0.0,5.0
2026,Behavioral Health,Derived from LIS bill summary,17.0,2.0,76.0,95.0,80.0,2.1052631578947367,17.894736842105264
2026,Budget and Appropriations,Derived from LIS bill description,1.0,34.0,64.0,99.0,64.64646464646465,34.34343434343434,1.0101010101010102
2026,Budget and Appropriations,Derived from LIS bill summary,30.0,1.0,69.0,100.0,69.0,1.0,30.0
2026,Business and Commerce,Derived from LIS bill description,22.0,0.0,78.0,100.0,78.0,0.0,22.0
2026,Business and Commerce,Derived from LIS bill summary,31.0,1.0,68.0,100.0,68.0,1.0,31.0
2026,Constitutional Amendments,Official LIS subject,0.0,7.0,15.0,22.0,68.18181818181817,31.818181818181817,0.0
2026,Courts and Civil Law,Derived from LIS bill description,31.0,4.0,64.0,99.0,64.64646464646465,4.040404040404041,31.313131313131315
2026,Courts and Civil Law,Derived from LIS bill summary,32.0,0.0,68.0,100.0,68.0,0.0,32.0
2026,Criminal Justice,Derived from LIS bill description,27.0,8.0,65.0,100.0,65.0,8.0,27.0
2026,Criminal Justice,Derived from LIS bill summary,31.0,5.0,64.0,100.0,64.0,5.0,31.0
2026,Education,Derived from LIS bill description,27.0,0.0,73.0,100.0,73.0,0.0,27.0
2026,Education,Derived from LIS bill summary,31.0,3.0,66.0,100.0,66.0,3.0,31.0
2026,Elections and Voting,Derived from LIS bill description,0.0,36.0,65.0,101.0,64.35643564356435,35.64356435643564,0.0
2026,Elections and Voting,Derived from LIS bill summary,20.0,15.0,64.0,99.0,64.64646464646465,15.151515151515152,20.2020202020202
