year,member_id,MBR_NAME,party,topic_name,topic_vote_events,directional_topic_votes,yes_votes,no_votes,topic_provenance,yes_pct,no_pct,voting_tendency
2026,H0375,Adele Y. McClure,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0311,Alex Q. Askew,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0239,Alfonso H. Lopez,D,Administration of Government,6,6,6,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0371,Amy J. Laufer,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0380,Atoosa R. Reaser,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0212,Betsy B. Carr,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0353,Bonita G. Anthony,D,Administration of Government,9,9,9,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0343,Briana D. Sewell,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0285,"C.E. Cliff Hayes, Jr.",D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0330,Candi Mundon King,D,Administration of Government,1,1,1,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0402,Charlie Schmidt,D,Administration of Government,3,3,3,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0208,Charniele L. Herring,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0317,Dan I. Helmer,D,Administration of Government,6,6,6,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0301,David A. Reid,D,Administration of Government,6,6,6,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0177,David L. Bulova,D,Administration of Government,2,2,2,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0361,Debra D. Gardner,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0207,Delores L. McQuinn,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0372,Destiny LeVere Bolling,D,Administration of Government,8,8,8,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0322,Don Scott,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0334,Elizabeth B. Bennett-Parker,D,Administration of Government,3,3,3,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0297,Elizabeth R. Guzman,D,Administration of Government,4,3,3,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0405,Garrett McGuire,D,Administration of Government,3,3,3,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0403,Gretchen M. Bulova,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0351,Holly M. Seibold,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0344,Irene Shin,D,Administration of Government,7,6,6,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0385,JJ Singh,D,Administration of Government,8,8,8,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0349,Jackie H. Glass,D,Administration of Government,6,6,6,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0173,Jeion A. Ward,D,Administration of Government,6,6,6,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0386,Jessica L. Anderson,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0395,John Chilton McAuliff,D,Administration of Government,6,6,6,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0382,Joshua E. Thomas,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0314,Joshua G. Cole,D,Administration of Government,6,5,5,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0370,Karen Keys-Gamarra,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0387,"Karen R. ""Kacey"" Carnegie",D,Administration of Government,6,6,6,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0294,Karrie K. Delaney,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0305,Kathy K.L. Tran,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0354,Katrina Callsen,D,Administration of Government,5,5,5,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0295,Kelly K. Convirs-Fowler,D,Administration of Government,8,7,7,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0399,Kimberly Pope Adams,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0406,Kirk McPike,D,Administration of Government,1,1,1,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0355,Laura Jane Cohen,D,Administration of Government,6,6,6,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0396,Leslie Chambers Mehta,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0393,Lily V. Franklin,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0391,Lindsey Dougherty,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0227,Luke E. Torian,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0284,"Marcia S. ""Cia"" Price",D,Administration of Government,6,5,5,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0264,Marcus B. Simon,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0404,Margaret A. Franklin,D,Administration of Government,3,3,3,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0392,Mark C. Downey,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0172,Mark D. Sickles,D,Administration of Government,1,1,1,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0374,Marty Martinez,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0397,May Nivar,D,Administration of Government,7,7,7,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0360,Michael B. Feggans,D,Administration of Government,7,7,7,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0340,Michelle Lopes Maldonado,D,Administration of Government,6,6,6,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
