Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
HB1554,Unclassified,Unclassified,,,BILLS.CSV,Funding for deputy sheriffs.,False,
HB1565,Unclassified,Unclassified,,,BILLS.CSV,Governor; appointment of chief of staff and Governor's Secretaries.,False,
HB1567,Unclassified,Unclassified,,,BILLS.CSV,Virginia Economic Development Partnership Authority; operational plan submission.,False,
HB1598,Unclassified,Unclassified,,,BILLS.CSV,First-time Homebuyer Grant Program; established.,False,
HB1605,Unclassified,Unclassified,,,BILLS.CSV,Uniform Trust Code; qualified trustee; definition.,False,
HB1606,Unclassified,Unclassified,,,BILLS.CSV,Claims to unclaimed property; authority of administrator.,False,
HB1630,Unclassified,Unclassified,,,BILLS.CSV,"Discovery; definition of ""electronic means.""",False,
HB1634,Unclassified,Unclassified,,,BILLS.CSV,Charter; City of Portsmouth.,False,
HB1640,Unclassified,Unclassified,,,BILLS.CSV,Virginia Disposition of Unclaimed Property Act; administrator to exercise due diligence to locate owner.,False,
HB1647,Unclassified,Unclassified,,,BILLS.CSV,Board of Medicine; licensure of anesthesiologist assistants.,False,
HB1650,Unclassified,Unclassified,,,BILLS.CSV,Virginia Antiterrorism Act established; civil penalties.,False,
HB1653,Unclassified,Unclassified,,,BILLS.CSV,Real Estate Board; regulations related to fees charged to a licensee.,False,
HB1658,Unclassified,Unclassified,,,BILLS.CSV,Board of Housing and Community Development; USBC; stakeholder group to evaluate temperature regulation.,False,
HB1661,Unclassified,Unclassified,,,BILLS.CSV,Deferred or installment payment agreements; universal minimum payments.,False,
HB1671,Unclassified,Unclassified,,,BILLS.CSV,Virginia Real Estate Time-Share Act; recordkeeping by resellers.,False,
HB1677,Unclassified,Unclassified,,,BILLS.CSV,Charter; City of Martinsville.,False,
HB1687,Unclassified,Unclassified,,,BILLS.CSV,Charter; City of Virginia Beach.,False,
HB1690,Unclassified,Unclassified,,,BILLS.CSV,Eminent domain; documents provided to landowner.,False,
HB1696,Unclassified,Unclassified,,,BILLS.CSV,Charter; City of Norfolk.,False,
HB1697,Unclassified,Unclassified,,,BILLS.CSV,Fishing with trawl nets and drag nets; shrimp and horseshoe crab; license fee; penalty.,False,
HB1703,Unclassified,Unclassified,,,BILLS.CSV,Alcoholic beverage control; tied house exceptions.,False,
HB1708,Unclassified,Unclassified,,,BILLS.CSV,Access to Housing Task Force; report.,False,
HB1737,Unclassified,Unclassified,,,BILLS.CSV,Department of Veterans Services; powers and duties of Commissioner; online portal.,False,
HB1740,Unclassified,Unclassified,,,BILLS.CSV,Virginia state militia; officers of certain educational institutions; Randolph-Macon Academy.,False,
HB1748,Unclassified,Unclassified,,,BILLS.CSV,Wrongful death action; who may bring.,False,
HB1756,Unclassified,Unclassified,,,BILLS.CSV,Southwest Regional Recreation Authority; directors.,False,
HB1757,Unclassified,Unclassified,,,BILLS.CSV,Compensation of court-appointed counsel.,False,
HB1763,Unclassified,Unclassified,,,BILLS.CSV,"Virginia Freedom of Information Act; virtual meetings; advisory boards, commissions, and councils.",False,
HB1767,Unclassified,Unclassified,,,BILLS.CSV,Unemployment benefits; maximum duration.,False,
HB1770,Unclassified,Unclassified,,,BILLS.CSV,"Uniform Trust Code; adds ""electronic"" to definitions in Code.",False,
HB1774,Unclassified,Unclassified,,,BILLS.CSV,County services; provision of services within towns.,False,
HB1782,Unclassified,Unclassified,,,BILLS.CSV,"Newborn screening requirements; federal Recommended Uniform Screening Panel, evaluation, report.",False,
HB1786,Unclassified,Unclassified,,,BILLS.CSV,"Child day centers operated by religious institutions; exemption from licensure, conditions.",False,
