Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
HB8,Unclassified,Unclassified,,,BILLS.CSV,General Assembly; intergovernmental affairs.,False,
HB9,Unclassified,Unclassified,,,BILLS.CSV,"Eastern Daylight Time; Commonwealth shall observe year-round upon enactment by Congress, etc.",False,
HB13,Unclassified,Unclassified,,,BILLS.CSV,RS and UT; food purchased for human consumption and essential personal hygiene products.,False,
HB16,Unclassified,Unclassified,,,BILLS.CSV,Community service work in lieu of payment of fines and costs; work performed while incarcerated.,False,
HB17,Unclassified,Unclassified,,,BILLS.CSV,"Fines and costs; period of limitations on collection, responsibility for collections.",False,
HB22,Unclassified,Unclassified,,,BILLS.CSV,"VMI; removes certain authority, disciplinary immunity for certain individuals who make reports.",False,
HB32,Unclassified,Unclassified,,,BILLS.CSV,Problem Gambling Treatment and Support Advisory Committee; appointment of additional members.,False,
HB35,Unclassified,Unclassified,,,BILLS.CSV,Restorative housing and isolated confinement; restrictions on use.,False,
HB36,Unclassified,Unclassified,,,BILLS.CSV,"Standards of Quality; class size limits, exception for certain ensemble music classes.",False,
HB37,Unclassified,Unclassified,,,BILLS.CSV,"Developmental disability waivers; financial eligibility standards, sunset repeal.",False,
HB39,Unclassified,Unclassified,,,BILLS.CSV,Duty of settlement agent; restrictive covenants.,False,
HB42,Unclassified,Unclassified,,,BILLS.CSV,Posting of building permit; identification of mechanics' lien agent.,False,
HB45,Unclassified,Unclassified,,,BILLS.CSV,"Fees to hunt, fish, and trap; free or partially discounted, reimbursement.",False,
HB46,Unclassified,Unclassified,,,BILLS.CSV,Judges; maximum number in each judicial circuit.,False,
HB48,Unclassified,Unclassified,,,BILLS.CSV,Suicide prevention; VDH to convene work group to develop plan to reduce among at-risk populations.,False,
HB49,Unclassified,Unclassified,,,BILLS.CSV,"Pari-mutuel wagering; historical horse racing, percentage retained for distribution.",False,
HB50,Unclassified,Unclassified,,,BILLS.CSV,VHSL; feasibility of adding cricket as a sanctioned sport in Planning District 8.,False,
HB52,Unclassified,Unclassified,,,BILLS.CSV,Marine Resources Commission; beneficial use of dredged material.,False,
HB55,Unclassified,Unclassified,,,BILLS.CSV,"Noise abatement monitoring systems; local authorities to place and operate, civil penalties.",False,
HB58,Unclassified,Unclassified,,,BILLS.CSV,"Virginia Board for Asbestos, Lead, and Home Inspectors; renamed, radon measurement, etc.",False,
HB59,Unclassified,Unclassified,,,BILLS.CSV,"Reapportionment; reallocation of populations, population data, civil commitment facilities.",False,
HB60,Unclassified,Unclassified,,,BILLS.CSV,"Life or health insurances; unfair discrimination, pre-exposure prophylaxis for prevention of HIV.",False,
HB62,Unclassified,Unclassified,,,BILLS.CSV,"Tazewell, Town of; amending charter, residency requirement for town manager.",False,
HB63,Unclassified,Unclassified,,,BILLS.CSV,Southwest Reg. Recreation Authority; certification of Southwest Regional Recreation Area rangers.,False,
HB65,Unclassified,Unclassified,,,BILLS.CSV,"Apple Board; repealing Board and Apple Fund effective July 1, 2028, delayed effective date, report.",False,
HB66,Unclassified,Unclassified,,,BILLS.CSV,Federal benefit programs; DMAS & DSS shall study technology systems used to administer.,False,
HB68,Unclassified,Unclassified,,,BILLS.CSV,"Real property; effect on rate when assessment results in tax increase, consideration of inflation.",False,
HB70,Unclassified,Unclassified,,,BILLS.CSV,"Resilient Virginia Revolving Fund; projects in low-income geographic areas, nature-based solutions.",False,
HB83,Unclassified,Unclassified,,,BILLS.CSV,Virginia Information Technologies Agency; powers of the CIO; creation of Cyber Civilian Corps.,False,
HB85,Unclassified,Unclassified,,,BILLS.CSV,Va.-specific postsecondary transition counselor certificate program; development and establishment.,False,
HB86,Unclassified,Unclassified,,,BILLS.CSV,"Mattress Stewardship Program; established, definitions, report.",False,
HB97,Unclassified,Unclassified,,,BILLS.CSV,Precious metals dealers; permit requirements.,False,
HB98,Unclassified,Unclassified,,,BILLS.CSV,"Glen Lyn, Town of; repealing charter.",False,
HB100,Unclassified,Unclassified,,,BILLS.CSV,Payment or delivery of small asset by affidavit; Office of the Executive Secretary to prepare form.,False,
HB102,Unclassified,Unclassified,,,BILLS.CSV,Voluntary manslaughter; increases penalty.,False,
HB103,Unclassified,Unclassified,,,BILLS.CSV,Early Intervention Program for Infants and Toddlers with Disabilities; program extension.,False,
HB107,Unclassified,Unclassified,,,BILLS.CSV,Underinsured motorist benefits; actions against released defendant.,False,
HB108,Unclassified,Unclassified,,,BILLS.CSV,Honor Guard Grant Program; Department of Veterans Services to establish.,False,
HB117,Unclassified,Unclassified,,,BILLS.CSV,"Youth, Virginia Commission on; nonlegislative citizen member, person younger than 18 years of age.",False,
HB118,Unclassified,Unclassified,,,BILLS.CSV,Discovery materials or evidence; accused may request to copy or photograph any materials.,False,
HB119,Unclassified,Unclassified,,,BILLS.CSV,Uniform Statewide Building Code; stakeholder group to evaluate temperature regulation.,False,
HB121,Unclassified,Unclassified,,,BILLS.CSV,"Surveillance pricing; prohibited, civil penalties.",False,
HB122,Unclassified,Unclassified,,,BILLS.CSV,Cosmetic products; manufacturing or sale with certain ingredients prohibited.,False,
HB124,Unclassified,Unclassified,,,BILLS.CSV,"Assault and battery; adds district court temporary recall judge, penalty.",False,
HB127,Unclassified,Unclassified,,,BILLS.CSV,"Person not free on bail; court appearance, right to counsel.",False,
HB129,Unclassified,Unclassified,,,BILLS.CSV,Deer; permit may be issued to kill if damaging residential plants and certain property.,False,
HB131,Unclassified,Unclassified,,,BILLS.CSV,"Higher educational institutions, public; reasonable accommodations for religious beliefs, etc.",False,
HB132,Unclassified,Unclassified,,,BILLS.CSV,"Graduation with an advanced studies diploma; requirements, complet. of Int'l Baccalaureate diploma.",False,
HB133,Unclassified,Unclassified,,,BILLS.CSV,Electronic execution of estate planning documents; codifies Uniform Electronic Wills Act.,False,
HB135,Unclassified,Unclassified,,,BILLS.CSV,"Virginia Code Commission; extends subdivision plats work group, report.",False,
HB138,Unclassified,Unclassified,,,BILLS.CSV,Public high schools; career coach required.,False,
HB140,Unclassified,Unclassified,,,BILLS.CSV,"Federally Recognized Tribes, Commission on; purpose, powers, sunset extended.",False,
HB142,Unclassified,Unclassified,,,BILLS.CSV,"Access to Housing Task Force; established, report.",False,
HB143,Unclassified,Unclassified,,,BILLS.CSV,Surplus real property; prioritization of disposition for affordable and middle-income housing.,False,
HB144,Unclassified,Unclassified,,,BILLS.CSV,"Waverly, Town of; amending charter, transitioning town government.",False,
HB147,Unclassified,Unclassified,,,BILLS.CSV,U.S. Route 58 Corridor Development Program; issuance of bonds.,False,
HB150,Unclassified,Unclassified,,,BILLS.CSV,Felonies; limitation on prosecution due to lapse of time after finding of probable cause.,False,
HB152,Unclassified,Unclassified,,,BILLS.CSV,Little bluestem (Schizachyrium scoparium); designating as the official state grass.,False,
HB154,Unclassified,Unclassified,,,BILLS.CSV,"Data centers; use of emergency generation unit, disclosure requirements.",False,
HB156,Unclassified,Unclassified,,,BILLS.CSV,Electronic death reg. system; requiring certain applicants for licensure to complete training.,False,
HB158,Unclassified,Unclassified,,,BILLS.CSV,Abuse or neglect of a child; transition of a child to sex or gender other than biological sex.,False,
HB159,Unclassified,Unclassified,,,BILLS.CSV,"Va. Freedom of Information Act; proceedings for enforcement, petition for mandamus or injunction.",False,
HB162,Unclassified,Unclassified,,,BILLS.CSV,Public campaign financing; counties and cities may establish for certain offices.,False,
HB163,Unclassified,Unclassified,,,BILLS.CSV,"Notarization, filing, & recordation of certain land records; duties of notary or settlement agent.",False,
HB165,Unclassified,Unclassified,,,BILLS.CSV,"Contractors, Board for; examinations available in alternative languages.",False,
HB166,Unclassified,Unclassified,,,BILLS.CSV,"Noise ordinances; removes exemption for industrial property, civil penalties.",False,
HB167,Unclassified,Unclassified,,,BILLS.CSV,Tax exemptions; Confederacy organizations.,False,
HB169,Unclassified,Unclassified,,,BILLS.CSV,"Emergency management; work group to evaluate existing needs in the Commonwealth, report.",False,
HB170,Unclassified,Unclassified,,,BILLS.CSV,"Real estate appraisers; ed. requirements for licensure, fair housing and appraisal bias course.",False,
HB175,Unclassified,Unclassified,,,BILLS.CSV,"Real property; tax exemption, surviving spouses of members of Armed Forces who died in line of duty.",False,
HB176,Unclassified,Unclassified,,,BILLS.CSV,State-facilitated IRA savings program; various changes to the program.,False,
HB179,Unclassified,Unclassified,,,BILLS.CSV,"Virginia Fleet Modernization Advisory Council; established, report, sunset.",False,
HB180,Unclassified,Unclassified,,,BILLS.CSV,"Work-Based Learning Coordinator Pilot Program; established, report, sunset.",False,
HB183,Unclassified,Unclassified,,,BILLS.CSV,"First-time home buyer savings plan; townhouses, principal limits.",False,
HB184,Unclassified,Unclassified,,,BILLS.CSV,"All-Payer Claims Database; Virginia Department of Health shall conduct an evaluation, report.",False,
HB185,Unclassified,Unclassified,,,BILLS.CSV,Orders closing a proceeding; petitions for review.,False,
HB186,Unclassified,Unclassified,,,BILLS.CSV,"Estheticians; permanent make-up specialty insurance, licensure by endorsement.",False,
HB190,Unclassified,Unclassified,,,BILLS.CSV,"Electronic fund transfers; Office of AG shall convene work group to review fraudulent activity, etc.",False,
HB194,Unclassified,Unclassified,,,BILLS.CSV,Judges; maximum number of judges in each judicial district.,False,
HB199,Unclassified,Unclassified,,,BILLS.CSV,Standards of Learning assessments; through-year growth assessment system eliminated.,False,
HB202,Unclassified,Unclassified,,,BILLS.CSV,"Single-family-homes; prohibited acquisition, civil penalty.",False,
HB203,Unclassified,Unclassified,,,BILLS.CSV,"Middle Eastern and North African Advisory Board; established, sunset.",False,
HB204,Unclassified,Unclassified,,,BILLS.CSV,Virginia Law Officers' Retirement System; extends membership to emergency dispatchers.,False,
HB205,Unclassified,Unclassified,,,BILLS.CSV,"Va. Retirement System; enhanced retirement benefits for 911 dispatchers, delayed effective date.",False,
HB206,Unclassified,Unclassified,,,BILLS.CSV,College partnership laboratory schools; transparency.,False,
HB208,Unclassified,Unclassified,,,BILLS.CSV,Anti-harassment orders; creates a procedure for issuing an order.,False,
HB209,Unclassified,Unclassified,,,BILLS.CSV,Peer recovery specialists; VDH & DOC to develop guidelines for hiring.,False,
HB211,Unclassified,Unclassified,,,BILLS.CSV,"Head start, etc.; Head Start State Collaboration Office to develop for endorsement a report, etc.",False,
HB218,Unclassified,Unclassified,,,BILLS.CSV,Casino gaming; consideration of service permit application.,False,
HB219,Unclassified,Unclassified,,,BILLS.CSV,Kei vehicles; operation and requirements.,False,
HB221,Unclassified,Unclassified,,,BILLS.CSV,"Appeals bond; indigent parties, appeal of unlawful detainer.",False,
HB222,Unclassified,Unclassified,,,BILLS.CSV,Public pools; regulations.,False,
HB223,Unclassified,Unclassified,,,BILLS.CSV,Public defender; local funding for positions.,False,
HB224,Unclassified,Unclassified,,,BILLS.CSV,Paternity; proceedings to establish.,False,
HB225,Unclassified,Unclassified,,,BILLS.CSV,Marcus Alert Evaluation Task Force; created.,False,
