member_id,party,member
H0353,D,Bonita G. Anthony
H0352,R,"Jonathan ""Jed"" Arnold"
H0311,D,Alex Q. Askew
H0253,R,Terry L. Austin
H0333,R,Jason S. Ballard
H0313,R,Amanda E. Batten
H0334,D,Elizabeth B. Bennett-Parker
H0267,R,"Robert S. Bloxom, Jr."
H0177,D,David L. Bulova
H0354,D,Katrina Callsen
H0212,D,Betsy B. Carr
H0335,R,Mike A. Cherry
H0336,D,Nadarius E. Clark
H0355,D,Laura Jane Cohen
H0314,D,Joshua G. Cole
H0295,D,Kelly K. Convirs-Fowler
H0337,R,A.C. Cordoza
H0356,D,Rae Cousins
H0315,R,Carrie E. Coyner
H0357,R,Will Davis
H0294,D,Karrie K. Delaney
H0358,R,"Mark L. Earley, Jr."
H0359,R,N. Baxter Ennis
H0360,D,Michael B. Feggans
H0259,R,"Hyland F. ""Buddy"" Fowler, Jr."
H0279,R,Nicholas J. Freitas
H0361,D,Debra D. Gardner
H0362,R,"Thomas A. Garrett, Jr."
H0181,R,C. Todd Gilbert
H0349,D,Jackie H. Glass
H0363,R,W. Chad Green
H0364,R,Timothy P. Griffin
H0285,D,"C.E. Cliff Hayes, Jr."
H0317,D,Dan I. Helmer
H0365,D,"Rozia A. Henson, Jr."
H0366,D,Phil M. Hernandez
H0208,D,Charniele L. Herring
H0367,R,Geary Higgins
H0238,R,M. Keith Hodges
H0219,D,Patrick A. Hope
H0368,D,Michael J. Jones
H0369,R,Hillary Pugh Kent
H0370,D,Karen Keys-Gamarra
H0056,R,Terry G. Kilgore
H0206,R,Barry D. Knight
H0281,D,Paul E. Krizek
H0371,D,Amy J. Laufer
H0262,R,"James A. ""Jay"" Leftwich"
H0372,D,Destiny LeVere Bolling
H0239,D,Alfonso H. Lopez
H0373,R,Ian T. Lovejoy
H0340,D,Michelle Lopes Maldonado
H0150,R,"Daniel W. Marshall, III"
H0374,D,Marty Martinez
H0375,D,Adele Y. McClure
H0350,R,Ellen H. Campbell
H0308,R,Joseph P. McNamara
H0207,D,Delores L. McQuinn
H0376,R,Paul V. Milde
H0224,R,James W. Morefield
H0330,D,Candi Mundon King
H0377,R,Delores Oates
H0378,R,Chris Obenshain
H0242,R,Israel D. O'Quinn
H0073,R,"Robert D. Orrock, Sr."
H0379,R,David Owen
H0384,R,Eric Phillips
H0284,D,"Marcia S. ""Cia"" Price"
H0266,D,Sam Rasoul
H0380,D,Atoosa R. Reaser
H0301,D,David A. Reid
H0321,R,Chris S. Runion
H0322,D,Don Scott
H0342,R,Phillip A. Scott
H0351,D,Holly M. Seibold
H0343,D,Briana D. Sewell
H0344,D,Irene Shin
H0172,D,Mark D. Sickles
H0264,D,Marcus B. Simon
H0323,D,Shelly A. Simonds
H0385,D,JJ Singh
H0269,D,"Richard C. ""Rip"" Sullivan, Jr."
H0345,R,Anne Ferrell Tata
H0346,R,Kim A. Taylor
H0382,D,Joshua E. Thomas
H0227,D,Luke E. Torian
H0305,D,Kathy K.L. Tran
H0347,R,"H. Otto Wachsmann, Jr."
H0325,R,Wendell S. Walker
H0173,D,Jeion A. Ward
H0124,R,R. Lee Ware
H0108,D,Vivian E. Watts
H0247,R,Michael J. Webert
H0329,R,Bill Wiley
H0327,D,Rodney T. Willett
H0348,R,Wren M. Williams
H0231,R,Tony O. Wilt
H0136,R,"Thomas C. Wright, Jr."
H0328,R,Scott A. Wyatt
H0383,R,Eric R. Zehr
S0115,D,Lashrecse D. Aird
S0114,D,Lamont Bagby
S0106,D,Jennifer B. Boysko
S0117,D,Jennifer D. Carroll Foy
S0132,R,"Luther Cifers, III"
S0118,R,Christie New Craig
S0062,D,R. Creigh Deeds
S0096,R,Bill DeSteph
S0119,R,"J.D. ""Danny"" Diggs"
S0120,R,Tara A. Durant
S0085,D,Adam P. Ebbin
S0086,D,Barbara A. Favola
S0121,R,Timmy French
S0112,R,T. Travis Hackworth
S0108,D,Ghazala F. Hashmi
S0122,R,Christopher T. Head
S0116,R,Emily M. Jordan
S0067,D,Mamie E. Locke
S0019,D,L. Louise Lucas
S0080,D,David W. Marsden
S0069,R,Ryan T. McDougle
S0098,D,Jeremy S. McPike
S0131,R,Tammy Brankley Mulchi
S0068,R,Mark D. Obenshain
S0105,R,Mark J. Peake
S0124,D,Stella G. Pekarsky
S0125,D,Russet Perry
S0111,R,Todd E. Pillion
S0088,R,Bryce E. Reeves
S0126,D,Danica A. Roem
S0113,D,Aaron R. Rouse
S0127,D,Saddam Azlan Salim
S0133,D,Kannan Srinivasan
S0082,R,"William M. Stanley, Jr."
S0078,R,Richard H. Stuart
S0099,R,"Glen H. Sturtevant, Jr."
S0101,R,David R. Suetterlein
S0100,D,Scott A. Surovell
S0129,D,Schuyler T. VanValkenburg
S0130,D,Angelia Williams Graves
