year,member,member_id,chamber,party,source,source_url
2025,Bonita G. Anthony,H0353,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0353
2025,"Jonathan ""Jed"" Arnold",H0352,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0352
2025,Alex Q. Askew,H0311,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0311
2025,Terry L. Austin,H0253,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0253
2025,Jason S. Ballard,H0333,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0333
2025,Amanda E. Batten,H0313,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0313
2025,Elizabeth B. Bennett-Parker,H0334,House,D,verified fallback reference,https://house.vga.virginia.gov/members/H0334
2025,"Robert S. Bloxom, Jr.",H0267,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0267
2025,David L. Bulova,H0177,House,D,verified fallback reference,https://house.vga.virginia.gov/members/H0177
2025,Katrina Callsen,H0354,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0354
2025,Betsy B. Carr,H0212,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0212
2025,Mike A. Cherry,H0335,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0335
2025,Nadarius E. Clark,H0336,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0336
2025,Laura Jane Cohen,H0355,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0355
2025,Joshua G. Cole,H0314,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0314
2025,Kelly K. Convirs-Fowler,H0295,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0295
2025,A.C. Cordoza,H0337,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0337
2025,Rae Cousins,H0356,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0356
2025,Carrie E. Coyner,H0315,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0315
2025,Will Davis,H0357,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0357
2025,Karrie K. Delaney,H0294,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0294
2025,"Mark L. Earley, Jr.",H0358,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0358
2025,N. Baxter Ennis,H0359,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0359
2025,Michael B. Feggans,H0360,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0360
2025,"Hyland F. ""Buddy"" Fowler, Jr.",H0259,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0259
2025,Nicholas J. Freitas,H0279,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0279
2025,Debra D. Gardner,H0361,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0361
2025,"Thomas A. Garrett, Jr.",H0362,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0362
2025,C. Todd Gilbert,H0181,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0181
2025,Jackie H. Glass,H0349,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0349
2025,W. Chad Green,H0363,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0363
2025,Timothy P. Griffin,H0364,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0364
2025,"C.E. Cliff Hayes, Jr.",H0285,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0285
2025,Dan I. Helmer,H0317,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0317
2025,"Rozia A. Henson, Jr.",H0365,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0365
2025,Phil M. Hernandez,H0366,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0366
2025,Charniele L. Herring,H0208,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0208
2025,Geary Higgins,H0367,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0367
2025,M. Keith Hodges,H0238,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0238
2025,Patrick A. Hope,H0219,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0219
2025,Michael J. Jones,H0368,House,D,verified fallback reference,https://house.vga.virginia.gov/members/H0368
2025,Hillary Pugh Kent,H0369,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0369
2025,Karen Keys-Gamarra,H0370,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0370
2025,Terry G. Kilgore,H0056,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0056
2025,Barry D. Knight,H0206,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0206
2025,Paul E. Krizek,H0281,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0281
2025,Amy J. Laufer,H0371,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0371
2025,"James A. ""Jay"" Leftwich",H0262,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0262
2025,Destiny LeVere Bolling,H0372,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0372
2025,Alfonso H. Lopez,H0239,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0239
2025,Ian T. Lovejoy,H0373,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0373
2025,Michelle Lopes Maldonado,H0340,House,D,verified fallback reference,https://house.vga.virginia.gov/members/H0340
2025,"Daniel W. Marshall, III",H0150,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0150
2025,Marty Martinez,H0374,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0374
2025,Adele Y. McClure,H0375,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0375
2025,Ellen H. Campbell,H0350,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0350
2025,Joseph P. McNamara,H0308,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0308
2025,Delores L. McQuinn,H0207,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0207
2025,Paul V. Milde,H0376,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0376
